entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DebtRepaidByManagementCategory,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,InterestRateRelatedToOutstandingDebtFromManagementCategory,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OutstandingDebtFromManagementCategory,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyLegislationOnFinancialReportingIncludingAccountingAndStorageOfAccountingRecordsAudit,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyOtherMattersAudit,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyTheCompaniesActOrEquivalentLegislationThatTheCompanyIsSubjectToAudit,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyTheCriminalCodeAndFiscalTaxAndSubsidyLegislationAudit,SelectedElementsFromReportingClassC,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForCurrentTaxRelatingToTaxRateChangesOrImpositionOfNewTaxes,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToAssociates,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PaidContributedCapital,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,DecreaseOfCapital,IncreaseOfCapital,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfCurrentTaxReceivablesAndLiabilities,DescriptionOfMethodsOfImpairmentLossesAndDepreciation,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfInvestments,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfQualificationsOfAuditedFinancialStatements,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,ManagementsStatementAboutManagementsReview,OpinionOnAuditedFinancialStatements,RecommendationForApprovalOfAnnualReportByGeneralMeeting,SignatureOfAuditorsDate,SupplementaryInformationOnMattersPertainingToAuditedFinancialStatement,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
31271444,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,-7603354.0,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2017-01-01,2017-12-31,c92,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,-7603354.0,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,651.0,-1974071.0,555631.0,32.0,0.0,52420.0,17725875.0,9230969.0,72600.0,42101.0,479680.0,5863.0,407080.0,72307.0,-9021143.0,-8547326.0,150740.0,-1417789.0,-1417789.0,17460727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2017-12-31,2017-12-31,c109,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,30576496.0,25714896.0,341630.0,30174681.0,290197.0,245815.0,20043164.0,156000.0,30576496.0,10533332.0,245815.0,5330407.0,401815.0,5330407.0,4312625.0,504941.0,341630.0,156000.0,19701534.0,5202925.0,4459785.0,145863.0,1974071.0,890300.0,1544713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2017-12-31,2017-12-31,c233,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330407.0,,,,,,,,,,,,,,5330407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c0,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,341630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c123,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,246537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c126,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,246537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c129,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,246537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c132,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,246537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271444,2018-01-01,2018-01-01,c188,,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzRiLzJmL2U0L2Y0OTItNGJkMS04ZDVlLTUzN2UwNTQ1Zjg5ZA.pdf,http://regnskaber.virk.dk/44417213/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2U2LzU5Lzg3LzFiMDItNDg3YS04ZDE2LWI2NGIxOTlkNGM3Nw.xml,64740.0,Danmark,Hellerup,2900.0,44.0,Strandvejen,KÃ¸benhavn K,1456.0,18E,Vestergade,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-05-13,2019-05-13,72041.0,91879.0,statsautoriseret revisor,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",info@reto.dk,www.reto.dk,33771231.0,31271444.0,33771231.0,mne2338,Ãrsrapport,10.05,Jan Boje Andreassen,Mikkel Weider,Jean-Marc Broyer,Reto-Moto ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,163116.0,KÃ¸benhavn,2017-01-01,2017-12-31,,KÃ¸benhavn,2018-12-31,2018-01-01,0.0,0.0,1.0,1.0,1.0,Hellerup,33 93 10 70,adm. direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27150300,indberetninger-20180424,2.5124211,31271444.0,AWq8Bw2hRYGX6_YTHtuW,2019-05-15T15:06:29.063Z,2019-05-15T15:05:39.270Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-17-AV,2019-05-15T15:05:39.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115671.0,1271671.0,,,,,,,,,,,,,,,,,,,,,,,,,,
