entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,NameAndSurnameOfMemberOfExecutiveBoard
33881894,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,-6900.0,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,-8505.0,-8505.0,-6900.0,2015-12-31,2015-01-01,1605.0,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,
33881894,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,-8505.0,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,
33881894,2014-12-31,2014-12-31,c7,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,150017.0,7.0,105000.0,7.0,91162.0,150017.0,58855.0,150010.0,150010.0,150010.0,3750.0,-13838.0,58855.0,55105.0,
33881894,2015-01-01,2015-01-01,c10,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,91162.0,,,,,,,,,,
33881894,2015-01-01,2015-01-01,c8,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,105000.0,,,,,,,,,,
33881894,2015-01-01,2015-01-01,c9,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,-13838.0,,,,,,,,,,
33881894,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,-3750.0,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,-5516.0,-5516.0,-3750.0,2015-12-31,2015-01-01,1766.0,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,
33881894,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,Anders Kobberup
33881894,2015-01-01,2015-12-31,c11,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,-5516.0,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,
33881894,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzL2U0Lzk1LzU5LzFkZWMtNDQ0MC1hZjk4LTQ5MTVjOWZjNTNmOQ.xhtml,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2VkLzVkL2Q3LzA2YzQtNGI1NS04NzYxLTIzOTAxNjdlNzU1ZQ.pdf,http://regnskaber.virk.dk/49818833/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzBiLzIxL2NiL2NjZTktNDJlYS1hMTE4LWM0NDViM2NhMmViOA.xml,true,Skanderborg,8660.0,16.0,Tyndeleddet,8660 Skanderborg,Tyndeleddet 16,Regnskabsklasse B,2016-06-10,2016-06-10,,33881894.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Kobberup,T16 HOLDING ApS,Anders Kobberup,Skanderborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,false,false,Ingen bistand,urn:ofk:oid:22671032,indberetninger-20180424,2.59278,33881894.0,,2018-03-29T05:35:49.331Z,2016-06-12T17:37:41.712Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-14-LX,2016-06-12T17:37:41.855Z,,,,,,,,,,,,,,,Jane Ãstergaard
