entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables
29242461,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,0.0,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,0.0,0.0,2015-12-31,2015-01-01,0.0,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2014-01-01,2014-12-31,c9,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2014-12-31,2014-12-31,c11,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,57080.0,13819.0,125000.0,57080.0,57080.0,0.0,0.0,0.0,43261.0,0.0,57080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43261.0,-67920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29242461,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,0.0,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,0.0,0.0,2015-12-31,2015-01-01,0.0,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29242461,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzhmLzVmL2JiL2ZlYzktNGVlZC05ZjljLWJkNzkxZmFjY2MzYg.xhtml,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2FhL2Y1LzM0L2M1NDYtNDU4Zi04MjE3LWQ1OTRhNzNlM2I1MA.pdf,http://regnskaber.virk.dk/16424292/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2IxLzcxLzZkLzNhODgtNDc3Zi1hMjA4LTY5MTJjMzdhNWVjYw.xml,true,Danmark,Svendborg,5700.0,2.0,MÃ¸llergade,Svendborg,5700.0,13.0,Skovhavevej,5700 Svendborg,Skovhavevej 13,Regnskabsklasse B,2016-05-14,2016-05-21,pj@camping-it.dk,,29242461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Per JÃ¼rgensen,Per Buehlow JÃ¼rgensen,Per Buehlow JÃ¼rgensen,"Danske Bank, Svendborg Afdeling",CAMPING-IT ApS,Per JÃ¼rgensen,Svendborg,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,false,false,Ledelsen vÃ¦lger fortsat at fravÃ¦lge revision.,66159943.0,false,false,Ingen bistand,urn:ofk:oid:22785529,indberetninger-20180424,2.5949402000000004,29242461.0,,2018-03-29T15:04:27.086Z,2016-06-28T17:55:35.951Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-62-PJ,2016-06-28T17:55:36.089Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
