entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmailOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherShorttermReceivables,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermReceivables,ShorttermTradePayables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermDebtRaisedByIssuanceOfBonds,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
36450789,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,23817.0,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,42183.0,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,12910.0,5500.0,Verninge,2015-07-01,2016-06-30,26617.0,29273.0,42183.0,2017-06-30,2016-07-01,66000.0,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,2656.0,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
36450789,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
36450789,2015-07-01,2016-06-30,c9,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,26617.0,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
36450789,2016-06-30,2016-06-30,c11,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,490796.0,80796.0,50000.0,80796.0,59517.0,410000.0,490796.0,431279.0,414500.0,410000.0,414500.0,12500.0,410000.0,9517.0,16779.0,2656.0,,
36450789,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,13011.0,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,52989.0,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,12885.0,5500.0,Verninge,2015-07-01,2016-06-30,31869.0,40104.0,52989.0,2017-06-30,2016-07-01,66000.0,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,8235.0,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
36450789,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
36450789,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,Karsten Frederiksen,DirektÃ¸r
36450789,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,Martin Erik Frederiksen,Bestyrelsesmedlem
36450789,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,Kennet Gunnar Frederiksen,Bestyrelsesmedlem
36450789,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JkLzQ5LzFjLzc0NDEtNGI4NC05N2Q5LThlMzI3ZGE5NTkwMA.xhtml,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzM3LzZmLzk5LzM3ZWQtNDEyNS05NzI5LTRkMGYxYzVlM2ZjZg.pdf,http://regnskaber.virk.dk/98705463/ZG9rdW1lbnRsYWdlcjovLzAzLzMyL2IyL2ZlLzlhL2EyNjgtNDY2Ny05YWQ3LTg3ZTE5ZjM1MWMzYg.xml,true,Danmark,DK,Odense C,5000.0,100.0,Hunderupvej,Tommerup,5690.0,12.0,Violvej,5690 Tommerup,Violvej 12,Regnskabsklasse B,,2017-07-27,2017-07-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",margitfrederiksen@hotmail.dk,,36450789.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karsten Frderiksen,Karsten Frederiksen,Fynske Bank,M & K EJENDOMME ApS,Margit Frederiksen,,5500.0,Verninge,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,,false,false,5500.0,1623.0,Der er fravalgt revision for det kommende regnskabsÃ¥r,,26241625.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24381290,indberetninger-20180424,2.5953846,36450789.0,,2018-03-27T12:25:26.944Z,2017-07-27T13:39:43.931Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AQ-76-LK,2017-07-27T13:39:44.148Z,,,,,,,,,,,,,,,,,,
