entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,Dividend,DividendPaid
27986323,2017-01-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,-103400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27986323,2017-01-01,2017-12-31,ID_16,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,-2690.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27986323,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,106090.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,74000.0,876267.0,5549.0,1057594.0,136961.0,107327.0,681.0,30871.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27986323,2017-12-31,2017-12-31,ID_4,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,972335.0,415166.0,125000.0,674404.0,0.0,3300.0,565514.0,972335.0,406821.0,149931.0,297931.0,149931.0,193888.0,148000.0,148000.0,103400.0,337114.0,202562.0,406821.0,259238.0,2871.0,7500.0,255938.0,,,
27986323,2018-01-01,2018-01-01,ID_10,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,-125000.0,,,,,,,,,,,,,,,,,,,
27986323,2018-01-01,2018-01-01,ID_11,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,-103400.0,,,,,,,,,,,,,,,,,,,
27986323,2018-01-01,2018-01-01,ID_12,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,-337114.0,,,,,,,,,,,,,,,,,,,
27986323,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Sommer Thomsen,,
27986323,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27986323,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzY1LzI3L2JjL2Y1ZGYtNGUwYi04MDI0LWI1MjhjYzJjNWY4MQ.pdf,http://regnskaber.virk.dk/32368972/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzQyL2QxLzRhLzEwZDItNGJmNS04ZjYxLTRlNjMwNDMxMmM5MQ.xml,true,"Borup, 4140",Hovedgaden 60 L,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-02-13,2019-02-13,2004-07-01,2019-02-13,27986323.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for IT Konsulentgruppen ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Sommer Thomas,IT Konsulentgruppen ApS,Christian LysehÃ¸j,BrÃ¸ndby Strand,2017-01-01,2017-12-31,-105800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:26683316,indberetninger-20180424,2.5124266,27986323.0,AWjqvHOBet7j816D4FZX,2019-02-14T06:41:44.414Z,2019-02-14T06:40:44.776Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-06-HZ,2019-02-14T06:40:44.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
