entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,AdditionsToInvestments,DisposalsOfInvestments,DividendIncomeRelatedToInvestments,ProfitLossRelatedToInvestments,ReversalsOfInvestmentsOfPriorYearsRevaluations,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInAssociates,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
33051433,2013-01-01,2013-01-01,c251,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,521802.0,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,101944.0,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-01-01,c720,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-01-01,c735,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-01-01,c741,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,243894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,-403379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c252,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,,65000.0,42500.0,-96600.0,497224.0,-59444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,519046.0,,,,,,141346.0,51082.0,917082.0,100786.0,327681.0,9.0,327681.0,499146.0,-90264.0,3240.0,-19900.0,37320.0,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c474,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,922425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c736,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,922425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051433,2013-01-01,2013-12-31,c742,,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2QwLzQ3LzM3L2UzNzItNGNmNy04MDQ2LWE5YTlkMWZmNzM2NQ.pdf,http://regnskaber.virk.dk/33415033/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2RmLzk0LzVjL2FhMWItNDllYy1hN2Y3LWU2ODRiMGY4OGFlOQ.xml,,Randers SÃ,8960.0,HolmstrÃ¸m-Hansen,c/o Jan,"8240, Risskov","Voldbjergvej, 16",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014  samtaf resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-06-03,2015-06-03,2015-06-05,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",33051433.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014 for Dalgas Invest ApS.,Ãrsrapport,,Jan HolmstrÃ¸m,Jan HolmstrÃ¸m-Hansen,Dalgas Invest ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Randers SÃ,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-06-03,Risskov,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5510159,indberetninger-20180424,2.5097473,33051433.0,,2018-03-30T18:28:37.196Z,2015-06-12T06:17:47.632Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-60-EZ,2015-06-12T06:17:47.711Z,,-403379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
