entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
36401605,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,46656.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36401605,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,289634.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,336290.0,31079.0,72746.0,294623.0,367369.0,4989.0,,,,,,,,,,,,,,,,,,,,,,
36401605,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36401605,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,-336290.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36401605,2016-12-31,2016-12-31,ID_3,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,2195495.0,45495.0,50000.0,45495.0,257022.0,2150000.0,2195495.0,1859671.0,2150000.0,2150000.0,78802.0,78802.0,-55284.0,262306.0,1859671.0,1612542.0,240879.0,0.0,0.0,0.0,6250.0,
36401605,2017-01-01,2017-06-30,ID_0,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allan Pettersson
36401605,2017-01-01,2017-06-30,ID_1,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36401605,2017-01-01,2017-06-30,ID_10,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,206947.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36401605,2017-01-01,2017-06-30,ID_2,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,3053.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,0.0,595.0,18836.0,-18241.0,595.0,-21294.0,,,,,,,,,,,,,,,,,,,,,,
36401605,2017-01-01,2017-06-30,ID_6,,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzU5LzgzL2VlL2Y0ZGMtNDQzNi04Y2I0LTU0MjhkNWQ2NjFjYQ.pdf,http://regnskaber.virk.dk/50610463/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2JjLzQ3LzBjLzgxNmUtNDUzMC1hYzUxLTk4MjI5ZGEwMGY1Ng.xml,true,"2990, NivÃ¥",MÃ¸llevej 11,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-11-21,2017-11-21,2014-10-04,2017-11-21,ap@transaktionskompagniet.dk,36401605.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 30. juni 2017 for Business Finance TAK ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Pettersson,Business Finance TAK ApS,AP-PROVED ApS,NivÃ¥,2016-01-01,2016-12-31,-210000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-06-30,2017-01-01,true,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,Ingen bistand,urn:ofk:oid:24775654,indberetninger-20180424,2.5118406,36401605.0,,2018-03-27T23:45:01.041Z,2017-12-01T17:30:43.181Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BJ-66-VR,2017-12-01T17:30:43.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
