entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,ValueAdjustmentsOfEquity
27246826,2015-10-01,2016-09-30,c174,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-10653.0,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,6750.0,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,622908.0,Ãrsrapport,28497.0,83519.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,106889.0,83519.0,78392.0,HÃ¸rsholm,2015-10-01,2016-09-30,603441.0,592788.0,616158.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,-10653.0,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,,,,,,,,,,,,,,,,,,,,,,
27246826,2015-10-01,2016-09-30,c177,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,51700.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,,,,,,,,,,,,,,,,,,,,,,
27246826,2015-10-01,2016-09-30,c185,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,0.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,,,,,,,,,,,,,,,,,,,,,,
27246826,2015-10-01,2016-09-30,c195,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,551741.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,,,,,,,,,,,,,,,,,,,,,,
27246826,2016-09-30,2016-09-30,c172,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,4439274.0,412000.0,1695797.0,4439274.0,2743477.0,2120485.0,2120485.0,2120485.0,1.0,2144287.0,0.0,51700.0,0.0,1232097.0,2743477.0,599190.0,2318789.0,2317476.0,1313.0,,,,,
27246826,2016-10-01,2016-10-01,c226,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,412000.0,,,,,,,,,,,,,,,,,,,,,
27246826,2016-10-01,2016-10-01,c235,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,0.0,,,,,,,,,,,,,,,,,,,,,
27246826,2016-10-01,2016-10-01,c253,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,1232097.0,,,,,,,,,,,,,,,,,,,,,
27246826,2016-10-01,2016-10-01,c257,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,51700.0,,,,,,,,,,,,,,,,,,,,,
27246826,2016-10-01,2016-10-01,c548,,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2EyLzE5LzFjLzQ5ZGItNDUyNC1iMWExLTViMmY1NzJlYWI1ZA.pdf,http://regnskaber.virk.dk/62864272/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzFiLzdjL2MyLzg1NTctNDVhMi1iM2ZlLWJlOTkzYTA1OWVjYw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,FrederiksvÃ¦rk,3300.0,32.0,NÃ¸rregade,2970 HÃ¸rsholm,Skovduevej 2,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i J E C Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-24,2003-05-25,2017-10-27,Statsautoriseret revisor,-51700.0,,20222670.0,27246826.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for J E C Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Ove Hansen,JÃ¸rgen Christensen,JÃ¸rgen Christensen,Jyske Bank,J E C Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸rsholm,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸rsholm,2017-09-30,2016-10-01,561247.0,true,2017-10-24,Odense,,urn:ofk:oid:24662151,indberetninger-20180424,2.5116906,27246826.0,,2018-03-27T15:37:48.694Z,2017-11-03T14:49:47.889Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BE-43-TH,2017-11-03T14:49:47.993Z,,,,,,,,,,,,,,,,,,,,29126.0,2091359.0,,,
