entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,WritedownsOfCurrentAssetsThatExceedNormalWritedowns,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
34738696,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,1152067.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2017-01-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,1152067.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,-2600.0,1114856.0,3843.0,135085.0,1162539.0,-83559.0,10472.0,80959.0,,,,,,,,,,,,,,,,,,,,,
34738696,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,6768196.0,223472.0,80000.0,3233356.0,6664418.0,6768196.0,103778.0,3534840.0,3534840.0,3534840.0,0.0,210334.0,0.0,0.0,6584418.0,103778.0,103778.0,3009884.0,2791997.0,7553.0,
34738696,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,2235470.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,-12145.0,2199746.0,0.0,150313.0,2245546.0,-104513.0,10076.0,92368.0,,,,,,,,,,,,,,,,,,,,,
34738696,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,-361799.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34738696,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2YwLzE1L2RjLzY3MDQtNGZhYi04ODg3LTc2ODJlZDc4NTU3ZA.pdf,http://regnskaber.virk.dk/69683743/ZG9rdW1lbnRsYWdlcjovLzAzL2Q4L2Q2LzcwL2NmLzM1YTEtNDdiNy04OTVlLTQwYTJkY2Q5OTYxYw.xml,true,"6100, Haderslev","Storegade 88, 1.",Til kapitalejerne i MLJ Kolding Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-01-24,2019-01-24,2012-09-30,2019-01-24,39701863.0,34738696.0,39701863.0,mne33209,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for MLJ Kolding Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kristensen,Michael Steen Lavilla,OL Revision Haderslev,MLJ Kolding Holding ApS,"OL Revision Haderslev, Statsautoriseret Revisionsanpartsselskab",Kolding,2017-01-01,2017-12-31,1700000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2018-12-31,2018-01-01,false,2019-01-24,Haderslev,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26706995,indberetninger-20180424,2.5118406,34738696.0,AWkJ69QGet7j816D4K1z,2019-02-20T08:01:19.278Z,2019-02-20T08:00:43.402Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AL-91-CP,2019-02-20T08:00:43.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
