entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnAuditedFinancialStatements,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOfExecutiveAndSupervisoryBoardsResponsibilityForFinancialStatements,TelephoneNumberOfAuditor,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross
28680414,2010-10-01,2010-10-01,c410,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,125000.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680414,2010-10-01,2010-10-01,c434,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,-945191.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680414,2010-10-01,2011-09-30,c3,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,0.0,50762.0,405161.0,-10221.0,405161.0,-205779.0,-364620.0,50762.0,-158841.0,,,,,,,,,,,,,,,,,,,
28680414,2010-10-01,2011-09-30,c435,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,-205779.0,,,,,,,,,,,,,,,,,,,,,,
28680414,2010-10-01,2011-09-30,c96,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,-205779.0,,,,,,,,,,,,,,,,,,,,,,
28680414,2011-09-30,2011-09-30,c4,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,-1025970.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,3078107.0,125000.0,3107.0,2407.0,3075000.0,3078107.0,4104077.0,3075000.0,52591.0,700.0,3075000.0,-1150970.0,3844486.0,4104077.0,200000.0,3107.0,7000.0,,
28680414,2011-09-30,2011-09-30,c412,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,125000.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680414,2011-09-30,2011-09-30,c436,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,-1150970.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28680414,2011-10-01,2011-10-01,c124,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,129205.0,3204206.0
28680414,2011-10-01,2011-10-01,c153,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8vcGRmcy8yODY4MDQxNDtBcFMzNDc1OTc7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/41408682/Y3ZyLmRrOi8veGJybHMvWC0zMkFEM0FDNy0yMDEyMTIyMV8xNjU2MjhfMTY1.xml,87760.0,Danmark,8210 Aarhus V,Sommervej 31 C,8200  Aarhus N,Ãbogade 15,8210 Aarhus V,Sommervej 31 C,anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,2012-12-06,2012-12-06,2012-12-20,aarhus@rgdrevision.dk,125000.0,30506804.0,28680414.0,30506804.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 for JHH Ejendomme ApS.,"Vi har revideret Ã¥rsregnskabet for JHH Ejendomme ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Dan Rask Jensen,Jens Bruun Haugstrup,Jens Bruun Haugstrup,"rgd revision, statsautoriseret revisionspartnerselskab",Sydbank A/S,JHH Ejendomme ApS,"rgd revision, statsautoriseret revisionspartnerselskab","Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012 i overensstemmelse med Ã¥rsregnskabsloven.",Aarhus N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-09-30,2011-10-01,87761.0,2012-12-06,Aarhus,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",86 13 31 00,urn:ofk:oid:16662889,indberetninger-20180424,2.5095992000000003,28680414.0,,2018-04-02T14:43:51.191Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-355.576,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
