entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard
33500793,2012-01-01,2012-01-01,c723,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,80000.0,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-01-01,c741,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,1123000.0,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-01-01,c744,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,97000.0,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-12-31,c109,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,97000.0,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-12-31,c123,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,-90000.0,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-12-31,c3,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,7000.0,-6000.0,0.0,15000.0,9000.0,-6000.0,2000.0,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-12-31,c742,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,-90000.0,,,,,,,,,,,,,,,,,,,,,
33500793,2012-01-01,2012-12-31,c745,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,97000.0,97000.0,,,,,,,,,,,,,
33500793,2012-12-31,2012-12-31,c4,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,1210000.0,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,,,1217000.0,1217000.0,80000.0,1217000.0,1217000.0,7000.0,1000.0,97000.0,1033000.0,7000.0,2000.0,4000.0,
33500793,2012-12-31,2012-12-31,c722,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8vcGRmcy8zMzUwMDc5MztBcFM0ODg4Njg7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39700533/Y3ZyLmRrOi8veGJybHMvWC1FMDUyMUExQy0yMDE0MDQxNF8xNTA5MTRfOTUz.xml,EgÃ¥,8250.0,22.0,ÃskrÃ¦nten,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2013 for opfyldt.,2014-03-14,2014-03-14,2010-01-27,2014-04-03,80000.0,33500793.0,29442789.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2013 for Molle1 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Johny Jensen,Tanja Molsen Dahlgaard,Molle1 ApS,"NIELSEN & CHRISTENSEN, Statsautoriseret Revisionspartnerselskab",EgÃ¥,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,EgÃ¥,2013-12-31,2013-01-01,2014-03-14,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14023236,indberetninger-20180424,2.5124327999999996,33500793,,2018-03-31T19:38:07.103Z,2014-04-14T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-149.101,2014-04-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
