entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment
27218865,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,-14501.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",39762.0,2017-04-21,2003-06-20,2017-05-26,-294900.0,Statsautoriseret revisor,-200000.0,-2348931.0,2762762.0,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,-5990.0,2342.0,Sindal,359768.0,2015-01-01,2015-12-31,90022.0,115283.0,118931.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,8918.0,-25261.0,1980245.0,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2015-01-01,2015-12-31,c177,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,200000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,-109978.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,1387718.0,4970.0,125000.0,0.0,826531.0,842768.0,261696.0,55593.0,1387718.0,553416.0,898361.0,5.0,324859.0,44774.0,898361.0,200000.0,7771.0,7771.0,261696.0,501531.0,140819.0,553416.0,9312.0,0.0,222691.0,81440.0,39762.0,38664.0,96477.0,,,,,,,
27218865,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,501531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2016-01-01,2016-01-01,c257,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27218865,2016-01-01,2016-01-01,c456,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815511.0,3658278.0,,,,,
27218865,2016-01-01,2016-01-01,c462,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-04-21,2003-06-20,2017-05-26,,Statsautoriseret revisor,-200000.0,,,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,,,Sindal,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,,,,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390203.0,445796.0,,,,,
27218865,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2U5LzUzL2U0LzM0ZmMtNGJlNS1iMzYyLTViNDUwN2FmNjE4Mg.pdf,http://regnskaber.virk.dk/56881272/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzg3Lzk5LzEwLzRlMzgtNGFkNS1hNzg4LThiYzFjY2RlOTk1Ng.xml,false,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,Sindal,9870.0,8.0,NÃ¸rregade,9870 Sindal,NÃ¸rregade 8,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,-28840.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",76934.0,2017-04-21,2003-06-20,2017-05-26,-276906.0,Statsautoriseret revisor,-200000.0,-2329922.0,2826650.0,20222670.0,27218865.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for DintandlÃ¦ge Sindal ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Winther,Dirigent Lars Ferslev Jensby,Lars Ferlev Jensby,Jyske Bank,DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,-1289.0,3700.0,Sindal,330420.0,2015-01-01,2015-12-31,174139.0,222233.0,219822.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,true,2017-04-21,HjÃ¸rring,9737.0,-48094.0,1989765.0,urn:ofk:oid:23950810,indberetninger-20180424,2.5124211,27218865.0,,2018-03-28T08:55:27.711Z,2017-05-26T09:14:31.807Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-14-HB,2017-05-26T09:14:31.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Til kapitalejeren i DintandlÃ¦ge Sindal ApS,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,,
