entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,ProposedDividend,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,55417.0,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-2181142.0,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",456935.0,-208466.0,-1876568.0,-1877256.0,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,688.0,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,410000.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,546142.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,920426.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_18,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,1876568.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_20,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,16574949.0,1027068.0,-125000.0,2715653.0,-16134949.0,-16574949.0,-440000.0,13859296.0,4695258.0,13859296.0,9164038.0,-410000.0,-4026793.0,-11983156.0,-440000.0,1688585.0,1635000.0,0.0,16425.0,-30000.0,,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,850000.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8vcGRmcy8yMDgxOTU0NTtBcFMyNDMwMjY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/54591802/Y3ZyLmRrOi8veGJybHMvWC03M0E4ODdBMi0yMDEzMDUzMV8wODI4MjVfMzk4.xml,"6920, VidebÃ¦k",Bredgade 23,"6920, VidebÃ¦k","TolsgÃ¥rdsvej 1, Herborg","VidebÃ¦k, 6920",Hjejlevej 16,Til kapitalejerne i HSM Holding ApS,Regnskabsklasse B,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-29,97173345.0,,20819545.0,33750889.0,"Vi har revideret Ã¥rsregnskabet for HSM Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Oluf Poulsen,Oluf Poulsen,Nordea Bank Danmark  A/S,HSM Holding ApS,"Revisionskontoret i VidebÃ¦k, Godkendt Revisionsaktieselskab",,,-2683936.0,,"760, RingkÃ¸bing-Skjern",2012-12-31,2012-01-01,2013-05-28,VidebÃ¦k,,97172866.0,urn:ofk:oid:13383800,indberetninger-20180424,2.5118417999999996,20819545.0,,2018-04-01T13:39:44.939Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-38.700,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
