entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2010-05-01,2011-04-30,ID_11,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,-395388.0,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_13,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,-395388.0,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2010-05-01,2011-04-30,ID_9,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,395388.0,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,129883.0,-66622.0,463922.0,527183.0,63261.0,-131795.0,,
entity identifier,2011-05-01,2012-04-30,ID_0,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_1,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_10,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,65014.0,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_12,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,65014.0,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_14,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_2,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,,
entity identifier,2011-05-01,2012-04-30,ID_3,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8vcGRmcy8yNzIxNTE4MTtBL1MzMTQwNDA7MjAxMTA1MDE7MjAxMjA0MzA7UjtS.pdf,http://regnskaber.virk.dk/18151272/Y3ZyLmRrOi8veGJybHMvWC0xRDNDRDE1NS0yMDEyMTAyM18xNzE1NDJfNjI1.xml,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Taastrup, 2630",TaastrupgÃ¥rdsvej 30,"Frederiksberg, 2000",Lindevangs Alle 4,Regnskabsklasse B,2012-10-10,2003-06-06,2012-10-23,Statsautoriseret revisor,77926410.0,27215181.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rgen de Muzquiz Reumert,JÃ¸rgen de Muzquiz Reumert,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Rosco Holding ApS,Rosco Ejendomme A/S,"Statsautoriseret Revisionsaktieselskab, Revisionsfirmaet Albrechtsen",Frederiksberg,,2012-04-30,2011-05-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20984026,indberetninger-20180424,2.5118417999999996,27215181.0,,2018-04-02T04:49:40.067Z,2012-10-23T22:00:00.000Z,regnskab,0.0,,2012-04-30,2011-05-01,12-211.572,2012-10-23T22:00:00.000Z,,,,,,,Bent KlÃ¸cker Kierkegaard,Bestyrelsesformand
