entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
30495659,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,-31143.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,105800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,74657.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,46147.0,572012.0,715228.0,816.0,96253.0,97069.0,21596.0,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,446415.0,167523.0,125000.0,221748.0,9135.0,248670.0,203950.0,2717.0,446415.0,172345.0,18000.0,224667.0,18000.0,111613.0,206667.0,105800.0,25400.0,25400.0,17870.0,172345.0,54225.0,6596.0,54136.0,45090.0,
30495659,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,156446.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,29828.0,508510.0,739391.0,353.0,200700.0,201053.0,44254.0,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,108000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,48445.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30495659,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzM2L2Q3L2IyLzFhN2QtNDFkYi05ODM4LWFjOTY1Njk4MGVlYg.pdf,http://regnskaber.virk.dk/95659403/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2I4L2ZkL2YxLzZkODAtNDA0Ni1hNmY1LTZiNjQ1YzgwNmFjMg.xml,true,"Solbjerg, 8355",Solbjerg Hovedgade 24,Til den daglige ledelse i Solbjerg Bilsyn ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2019-05-07,28312393.0,30495659.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Solbjerg Bilsyn ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John Schantz,SÃ¸ren FanÃ¸e,Revisionsfirmaet John Schantz,Djurslands Bank,Solbjerg Bilsyn ApS,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Solbjerg,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-07,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27146345,indberetninger-20180424,2.5124211,30495659.0,AWq7Hh7ZRYGX6_YTHtFG,2019-05-15T10:51:58.057Z,2019-05-15T10:51:13.703Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-07-HG,2019-05-15T10:51:14.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
