entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,NameOfAuditFirm,TypeOfAuditorAssistance
34225052,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",284.0,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,-4688.0,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,-12.0,5895.0,Aarhus,911.0,1195.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,-284.0,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,,
34225052,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,911.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,,
34225052,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,88608.0,1372.0,81000.0,83323.0,88608.0,5285.0,87236.0,87236.0,87236.0,5000.0,2323.0,5285.0,285.0,,
34225052,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,81000.0,,,,,,,,,,,
34225052,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,2322.0,,,,,,,,,,,
34225052,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,-3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",242.0,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,-4750.0,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,-10.0,5894.0,Aarhus,895.0,1134.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,-239.0,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
34225052,2016-01-01,2016-12-31,c194,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,895.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,,
34225052,2016-01-01,2016-12-31,c254,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,895.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,,
34225052,2016-01-01,2016-12-31,c305,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
34225052,2016-01-01,2016-12-31,c637,,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzM4L2JmL2M0LzNkNjUtNDRkMi05YzRhLWVlYjE2ZGE0NjQxOQ.pdf,http://regnskaber.virk.dk/25052243/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzkxL2MzLzkyLzJkMDUtNDdmNS1hZjUwLTQyOWJkMTljMjI1MQ.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8000 Aarhus C,Silkeborgvej 2,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Obton Solenergi Roma Komplementaranpartsselskab,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-02-20,2012-02-06,2017-03-09,Statsautoriseret revisor,,20222670.0,34225052.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Obton Solenergi Roma Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Anders Gravesen,Claus Lawaetz Skovgaard,Obton Solenergi Roma Komplementaranpartsselskab,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-12-31,2016-01-01,false,2017-02-20,Aarhus,Det indstilles pÃ¥ generalforsamlingen at Ã¥rsregnskabet for 1. januar - 31. december 2017 ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.,,urn:ofk:oid:23644807,indberetninger-20180424,2.5118437,34225052.0,,2018-03-28T03:43:51.244Z,2017-03-27T07:40:44.204Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-13-WD,2017-03-27T07:40:44.668Z,,,,,,,,,,,,,,,
