entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendIncomeRelatedToInvestments,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IdentificationOfFinancialStatementsAndDescriptionOfFinancialReportingFrameworkAppliedInPreparationOfFinancialStatementsExtendedReview,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivablesFromGroupEnterprises,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,DistributedDividendsFromGroupEnterprises
31671957,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",-6000.0,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,9000.0,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",3248000.0,Ãrsrapport,18000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,37000.0,0.0,19000.0,Ringsted,2016-01-01,2016-12-31,3208000.0,3202000.0,3239000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,-6000.0,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,,,,,,,,,,,,,,,,,,,,,
31671957,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,52000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,,,,,,,,,,,,,,,,,,,,,
31671957,2016-01-01,2016-12-31,c185,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,-492000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,,,,,,,,,,,,,,,,,,,,,
31671957,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,3648000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,,,,,,,,,,,,,,,,,,,,,
31671957,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,5240000.0,24000.0,125000.0,4522000.0,5240000.0,718000.0,4238000.0,4238000.0,4238000.0,49000.0,52000.0,338000.0,4007000.0,718000.0,342000.0,978000.0,60000.0,327000.0,918000.0,,,,,
31671957,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,125000.0,,,,,,,,,,,,,,,,,,,,
31671957,2017-01-01,2017-01-01,c235,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,337864.0,,,,,,,,,,,,,,,,,,,,
31671957,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,4008213.0,,,,,,,,,,,,,,,,,,,,
31671957,2017-01-01,2017-01-01,c257,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,51700.0,,,,,,,,,,,,,,,,,,,,
31671957,2017-01-01,2017-01-01,c564,,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2Q4LzZjLzRjL2ExZDctNDA4Yi1hMTE4LTBlZTdhMWU1NTllMQ.pdf,http://regnskaber.virk.dk/75917613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzk2LzMyLzhhL2VkYTUtNDQ5NS05YmE1LTM2MDdlZWQ4ZGVlYQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸ge,4600.0,20.0,Bag Haverne,4100 Ringsted,Baretten 1,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Mau Holding 2008 ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-05-02,2008-08-27,2018-05-02,Statsautoriseret revisor,-3740000.0,-51700.0,,20222670.0,31671957.0,20222670.0,mne34089,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Mau Holding 2008 ApS.,"Vi har udfÃ¸rt udvidet gennemgang af Ã¥rsregnskabet for Mau Holding 2008 ApS for regnskabsÃ¥ret 1. januar - 31. december 2017, der omfatter resultatopgÃ¸relse, balance, noter og anvendt regnskabspraksis. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Brian Mau,Brian Kim Mau,Nordea Bank,Mau Holding 2008 ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Ringsted,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ringsted,2017-12-31,2017-01-01,3153090.0,false,2018-05-02,KÃ¸benhavn,,urn:ofk:oid:25395284,indberetninger-20180424,2.5097342,31671957.0,AWMgk2Vfx8uVRSOdgLhh,2018-05-02T11:19:09.340Z,2018-05-02T11:18:38.772Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-36-NG,2018-05-02T11:18:38.939Z,,,,,,,,,,,,,,,,,,,,4077864.0,160000.0,,,
