entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfEmployeeBenefitsExpense,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermPayablesToShareholdersAndManagement,StatementOfChangesInEquity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
32297285,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,106000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",0.0,622184.0,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,78187.0,0.0,Maribo,2017-01-01,2017-12-31,437997.0,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,,
32297285,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,437997.0,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,,
32297285,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,3843594.0,0.0,3900.0,1085282.0,3843594.0,2758312.0,3839694.0,3900.0,3839694.0,3839694.0,1085282.0,2644627.0,2758312.0,34805.0,3900.0,0.0,36880.0,0.0,,
32297285,2018-01-01,2018-01-01,c10,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,1085282.0,,,,,,,,,,,,,,,,
32297285,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,1085282.0,,,,,,,,,,,,,,,,
32297285,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,0.0,,,,,,,,,,,,,,,,
32297285,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,106000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",0.0,715462.0,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,54821.0,0.0,Maribo,2017-01-01,2017-12-31,554641.0,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,243000.0,
32297285,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,,
32297285,2018-01-01,2018-12-31,c12,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,0.0,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,0.0,
32297285,2018-01-01,2018-12-31,c13,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzliL2FjLzM0LzdmNTAtNGIyNS1iNTVhLTMzYTMzNGQ3N2NmMA.xhtml,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzcxL2VkL2IxLzdjZDItNDRiZS04YzE2LWFjNzIwZmU3OWIyZQ.pdf,http://regnskaber.virk.dk/58279223/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2Y5Lzc3LzI3L2YyYmItNDZjYi1iOTkxLWE3ODA0MzYzNjYxZg.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2019-02-02,2019-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2018: 2.306.657Â kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2018:Â Â 3.733.694 kr.</p>",,,32297285.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 7,Henrik Lerche,,,Maribo,2017-01-01,2017-12-31,554641.0,516184.0,2018-12-31,2018-01-01,true,false,42000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:26633890,indberetninger-20180424,2.5953022999999997,32297285.0,AWiv4Kywet7j816D37vz,2019-02-02T20:23:24.917Z,2019-02-02T20:22:42.819Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AG-49-MR,2019-02-02T20:22:43.000Z,,,,,,,,,,,,,,,,,,,243000.0,
