entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermNegativeGoodwill,NoncurrentAssets,PropertyPlantAndEquipment,RestOfOtherReserves,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,0.0,-3871904.0,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,2272127.0,-1279.0,-1195656.0,-1601056.0,-3871904.0,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,405400.0,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,1195656.0,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_17,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,1195656.0,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_19,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,73224922.0,-500000.0,3224922.0,3167250.0,-18481897.0,70000000.0,-73224922.0,-54743025.0,-42431963.0,-40667696.0,-1764267.0,70000000.0,70000000.0,-4501259.0,-13480638.0,-10564837.0,-4300.0,-12311062.0,-556087.0,-892166.0,3224922.0,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,80000.0,-3808925.0,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,1368790.0,-3012.0,-1766122.0,-2363147.0,-3728925.0,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,597025.0,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8vcGRmcy8yNzA0Mjg4MDtBL1MzMTAzNTA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/08824072/Y3ZyLmRrOi8veGJybHMvWC1BRUM1N0I5OS0yMDEzMDUzMF8xNDQ3NDZfNzA5.xml,"Slagelse, 4200",Gl. Torv 5,"Slagelse, 4200","Fisketorvet 6,1.","Slagelse, 4200",Elmedalsvej 7,Til kapitalejerne i JKA Ejendomme A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-05-30,Statsautoriseret revisor,,,27042880.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for JKA Ejendomme A/S.,"Vi har revideret Ã¥rsregnskabet for JKA Ejendomme A/S for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Claus KjÃ¦r Poulsen,Kim Augustsen,Jytte  Augustsen,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Jyske Bank,JKA Ejendomme A/S,Kim Augustsen A/S,,,1766122.0,,,"330, Slagelse",2012-12-31,2012-01-01,2013-05-24,Slagelse,,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20962564,indberetninger-20180424,2.5118417999999996,27042880.0,,2018-04-01T14:22:21.656Z,2013-06-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-61.967,2013-06-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
