entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Assets,ClassOfReportingEntity,CurrentAssets,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfAccountingPolicies,EmailOfReportingEntity,EmployeeBenefitsExpense,Equity,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherReserves,OtherShorttermPayables,OtherStatutoryReserves,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividend,Provisions,ReportingPeriodEndDate,ReportingPeriodStartDate,ReserveAccordingToArticlesOfAssociation,ReserveForDevelopmentExpenditure,ReserveForEntrepreneurialCompany,ReserveForLoansAndCollaterals,ReserveForNetRevaluationAccordingToEquityMethod,ReserveForNetRevaluationOfInvestmentAssets,ReserveForUnpaidContributedCapital,RestOfOtherReserves,RetainedEarnings,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermTaxPayables,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ActuarialProfitLossWhichIsAPartOfTheCalculationOfContingentPensions,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,Distributions,FixturesFittingsToolsAndEquipment,Goodwill,HedgeFund,IntangibleAssets,Inventories,LandAndBuildings,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,NotPaidContributedCapital,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermReceivables,PaidContributedCapital,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ProvisionsForDeferredTax,RawMaterialsAndConsumables,ReserveFund,RevaluationReserve,SharePremium,ShorttermDebtToBanks,ShorttermInvestments,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,TransferredToFromReservesAvailable,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
18209675,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,0.0,0.0,161264.0,128895.0,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,-122751.0,-122751.0,0.0,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32369.0,false,false,64900.0,0.0,0.0,0.0,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,0.0,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2015-07-01,2016-06-30,c9,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,0.0,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2016-06-30,2016-06-30,c12,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
18209675,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,0.0,0.0,161264.0,0.0,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,0.0,0.0,0.0,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,64900.0,0.0,0.0,0.0,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2016-07-01,2017-06-30,c10,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,0.0,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209675,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert Pedersen,
18209675,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sine Juliane Rosenlund Pedersen,PÃ¦dagog
18209675,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzNiLzZiLzViL2FmN2EtNDc5NS1hYmZiLTRkZWI2ODE0YzU2Mw.xhtml,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzllLzVmLzU3L2QxMjMtNDY4YS1iN2ZiLWU5ZDdhMWYxNzljYw.pdf,http://regnskaber.virk.dk/57690281/ZG9rdW1lbnRsYWdlcjovLzAzLzcxL2IyLzEyLzgyLzNkYTUtNDc1Yy05ZjAyLTE4YTgxMWUxZTU1Ng.xml,true,Danmark,DK,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Frederiksberg,2000.0,"11, 7 tv",Finsensvej,2000 Frederiksberg,"Finsensvej 11B, 07. tv.",64900.0,Regnskabsklasse B,64900.0,2017-11-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">NÃ¦rvÃ¦rende Ãrsrapport er aflagt i nÃ¸je overensstemmelse med regnskabslovens bestemmelser for Regnskabsklasse B.</p>",gertpedersen@me.com,,0.0,161264.0,,18209675.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,64900.0,64900.0,0.0,Gert Pedersen,Gert Pedersen,Arbejdernes Landsbank,GP UDSTILLINGSDESIGN A/S,Gert Pedersen,15588.0,21732.0,0.0,64900.0,0.0,2015-07-01,2016-06-30,,,,0.0,0.0,2017-06-30,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,false,64900.0,0.0,0.0,,22577311.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24686232,indberetninger-20180424,2.5946236000000003,18209675.0,,2018-03-27T16:50:11.862Z,2017-11-12T12:35:42.318Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BC-85-ME,2017-11-12T12:35:42.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Petersen,Pensionist
