entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxPayables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid
34725284,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,205000.0,702997.0,1182770.0,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,11129.0,KÃ¸benhavn,2015-01-01,2015-12-31,204752.0,263644.0,274773.0,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,58892.0,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34725284,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,101200.0,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34725284,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,103552.0,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34725284,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,1356062.0,122985.0,80000.0,656062.0,359474.0,100000.0,600000.0,600000.0,272043.0,1356062.0,996588.0,569132.0,569132.0,272043.0,700000.0,359718.0,72717.0,100000.0,101200.0,178274.0,427456.0,261034.0,112713.0,67738.0,75604.0,
34725284,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,178274.0,,,,,,,,,,,,,,,,,,,,,
34725284,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,101200.0,,,,,,,,,,,,,,,,,,,,,
34725284,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,359474.0,,,,,,,,,,,,,,,,,,,,,
34725284,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,
34725284,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,200000.0,632686.0,1176338.0,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,12122.0,KÃ¸benhavn,2015-01-01,2015-12-31,256716.0,331530.0,343652.0,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,74814.0,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,101200.0
34725284,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2JkLzViLzdmLzc4NTEtNDAwNi1iN2UyLTA2MGZjMTRhMjBhYQ.xhtml,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzLzhmL2VhLzdhL2RmL2M4YzMtNGY4Zi1iOWFmLTQwOWNiMWNjMGQ0Nw.pdf,http://regnskaber.virk.dk/48252743/ZG9rdW1lbnRsYWdlcjovLzAzL2FmLzFkLzBkLzI3L2JhNDItNDU5Mi04MWRhLWMyYjZhYzU1NWFmZQ.xml,true,KÃ¸benhavn S,2300.0,14.0,Amagerbrogade,3520 Farum,Bygmarken 19,Regnskabsklasse B,2017-05-17,2017-05-24,,,,34725284.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole KÃ¸ster,Ole KÃ¸ster,UNIK OPTIK AMAGER ApS,ElgÃ¥rd Regnskab,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,53040.0,Direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt. Revisionen er derfor ogsÃ¥ fravalgt for 2017.,,32572808.0,false,false,Ingen bistand,urn:ofk:oid:23946665,indberetninger-20180424,2.5949414,34725284.0,,2018-03-28T08:29:13.680Z,2017-05-25T11:22:42.696Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-54-QG,2017-05-25T11:22:42.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,
