entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,DividendIncomeRelatedToInvestments,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInAssociates,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,LongtermInvestmentsAndReceivables,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables
34600791,2015-01-01,2015-01-01,c251,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,42356.0,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,200000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-01-01,c720,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-01-01,c741,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,-7020.0,,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-12-31,c123,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,-120712.0,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-12-31,c252,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,,-20000.0,-162339.0,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-12-31,c3,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,-163068.0,,,-750.0,-162339.0,199.0,199.0,-163288.0,-750.0,-220.0,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-12-31,c474,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,-42356.0,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-01-01,2015-12-31,c742,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,-120712.0,,,,,,,,,,,,,,,,,,,,,,,,
34600791,2015-12-31,2015-12-31,c253,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,-139983.0,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,200000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,,,,,,,,,,,,60017.0,,,,,,,,,,,,,,
34600791,2015-12-31,2015-12-31,c4,,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzc2Lzk5L2ZhLzlkLzY5MGMtNDhlNi1iOGRhLTdhODU5NDhjMzYzNA.pdf,http://regnskaber.virk.dk/19700643/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzQ2L2JmL2UxLzMyNzEtNGY3Ny1hZjcxLWZiNmEzMWM0YzMwZA.xml,,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Aarhus C,8000.0,"7, st.",HelgenÃ¦sgade,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-01-30,2017-01-30,2017-02-03,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,16170445.0,34600791.0,16170445.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016 for Borup Lynggaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erling BrÃ¸dbÃ¦k,Anders Borup Lynggaard,Anders Borup Lynggaard,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Borup Lynggaard Holding ApS,"Martinsen Aarhus, Statsautoriseret Revisionsaktieselskab",Aarhus C,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ApS,Virtual Manufacturing Denmark ApS,Aarhus,2016-12-31,2016-01-01,40.0,2017-01-30,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23527572,indberetninger-20180424,2.5097403999999996,34600791.0,,2018-03-27T18:38:59.506Z,2017-02-28T07:43:48.726Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-32-YX,2017-02-28T07:43:48.871Z,72268.0,,,,,,,,,,,60017.0,82217.0,200000.0,22200.0,2200.0,82217.0,9949.0,60017.0,60017.0,3949.0,-127732.0,9949.0,22200.0,20000.0,6000.0
