entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermLiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
14301879,2014-04-01,2015-03-31,ID_12,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,-15190.0,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",448072.0,727734.0,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,264472.0,264472.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2014-04-01,2015-03-31,ID_14,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,-264472.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2014-04-01,2015-03-31,ID_16,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,-264472.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-03-31,2015-03-31,ID_18,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,5428521.0,190287.0,500000.0,5428521.0,28604.0,-1751894.0,5428521.0,7180415.0,3510800.0,3510800.0,5209039.0,35331.0,-2251894.0,3618034.0,5209039.0,3669615.0,29195.0,591.0,16250.0,,,
14301879,2015-04-01,2016-03-31,ID_0,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_1,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_10,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_11,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,-15497.0,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",1215709.0,517913.0,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,-713293.0,-713293.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_13,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,713293.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_15,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2Q1L2NiL2FkLzJmZTctNGQyNC1hYjVmLTk3YzQzYmI0Njg1Mg.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQzL2UxLzFlLzMwMTQtNDBlMy1hNDg3LTI3OTI1ZDI2OWViMg.xml,"4930, Maribo",C. E. Christiansens Vej 56,Til kapitalejerne i TjÃ¸rnebjerg A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016.",2016-05-24,1990-01-01,2016-08-22,54 66 07 26,,14301879.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2015 - 31. marts 2016 for TjÃ¸rnebjerg A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anders Nordtorp Henriksen,Jyske Bank,TjÃ¸rnebjerg A/S,"aage maagensen, statsautoriseret revisionsaktieselskab",,,"RÃ¸dby, den 24. maj 2016",2014-04-01,2015-03-31,713293.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-03-31,2015-04-01,2016-05-24,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22917314,indberetninger-20180424,2.51228,14301879.0,,2018-03-28T18:09:31.203Z,2016-08-24T10:57:43.667Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-BD-00-CH,2016-08-24T10:57:43.856Z,,,,,,,,,,,,,,,,,,,,,,
