entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermLiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
14301879,2015-04-01,2016-03-31,ID_10,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,-15497.0,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",1215709.0,517913.0,RÃ¸dby,2015-04-01,2016-03-31,-713293.0,-713293.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2015-04-01,2016-03-31,ID_12,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,713293.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2016-03-31,2016-03-31,ID_8,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,4559900.0,36752.0,500000.0,4559900.0,50215.0,-2465187.0,4559900.0,7025087.0,3669394.0,3669394.0,4457329.0,30414.0,15604.0,-2965187.0,3309029.0,4457329.0,3355693.0,65819.0,16250.0,,,
14301879,2016-04-01,2017-03-31,ID_0,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,-18445.0,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",368610.0,746226.0,RÃ¸dby,2015-04-01,2016-03-31,359171.0,359171.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2016-04-01,2017-03-31,ID_1,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2016-04-01,2017-03-31,ID_11,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,-359171.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2016-04-01,2017-03-31,ID_2,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
14301879,2016-04-01,2017-03-31,ID_3,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,Anders Nordtorp Henriksen,,
14301879,2016-04-01,2017-03-31,ID_4,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,Hans Bonde Hansen,Bestyrelsesformand
14301879,2016-04-01,2017-03-31,ID_5,,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzMxLzJkLzhlLzNlNTAtNDRjOC05OTk0LTE3MmQ0ODJiYWE5Ng.pdf,http://regnskaber.virk.dk/97810341/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzU5L2JiLzQ3L2E0MWQtNDEyOS1iYmQwLTE5NGU0YjE3MjAwYg.xml,true,"4930, Maribo",C. E. Christiansens Vej 56,"Til kapitalejerne i Selskabet af 15.09.2016, Maribo, A/S",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017.",2017-05-08,2017-05-08,1990-01-01,2017-06-26,54 66 07 26,,12901038.0,14301879.0,12901038.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2016 - 31. marts 2017 for Selskabet af 15.09.2016, Maribo, A/S.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Henckel,Anders Nordtorp Henriksen,aage maagensen,Jyske Bank,"Selskabet af 15.09.2016, Maribo, A/S","aage maagensen, statsautoriseret revisionsaktieselskab",,,RÃ¸dby,2015-04-01,2016-03-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-03-31,2016-04-01,true,2017-05-08,Maribo,54 60 14 26,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24304523,indberetninger-20180424,2.512258,14301879.0,,2018-03-29T18:59:34.318Z,2017-06-28T12:53:44.204Z,regnskab,0.0,,2017-03-31,2016-04-01,X17-AP-23-UR,2017-06-28T12:53:44.382Z,,,,,,,,,,,,,,,,,,,,,,
