entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables
15679689,2017-07-01,2017-07-01,c720,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,200000.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
15679689,2017-07-01,2017-07-01,c741,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,-31824.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
15679689,2017-07-01,2018-06-30,c123,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,-4694.0,,,,,,,,,,,,,,,,,
15679689,2017-07-01,2018-06-30,c3,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,-4694.0,-6036.0,-6036.0,-6036.0,-1342.0,,,,,,,,,,,,,
15679689,2017-07-01,2018-06-30,c742,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,-4694.0,,,,,,,,,,,,,,,,,
15679689,2018-06-30,2018-06-30,c4,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,163482.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,167482.0,164334.0,200000.0,167482.0,167482.0,4000.0,1277.0,-36518.0,4000.0,3148.0,529.0,1342.0,4000.0
15679689,2018-06-30,2018-06-30,c722,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,200000.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
15679689,2018-06-30,2018-06-30,c743,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,-36518.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
15679689,2018-07-01,2018-07-01,c181,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,200000.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
15679689,2018-07-01,2018-07-01,c199,,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2Y2Lzk1LzJlLzc2NWQtNGNlMS1hNTc4LThkMDI3ZmJiOTdlOQ.pdf,http://regnskaber.virk.dk/98697651/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2I4LzljLzc4LzQ4ZjQtNDQzMy1hOGMwLWQ1OWJhMjYwYzRkNg.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,RÃ¸dovre,2610.0,24.0,H.J. Holst Vej,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-09-10,2019-09-10,2019-09-10,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,info@dk.gt.com,-36518.0,34209936.0,15679689.0,34209936.0,mne32071,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for STARTEC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Ingemann Johansen,Helle Madsen,Frank Elo Madsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",STARTEC ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",RÃ¸dovre,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-09-10,KÃ¸benhavn,+45 33 110 220,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27817509,indberetninger-20180424,2.5097403999999996,15679689.0,AW0m1M4uIXJRhhXBNl0N,2019-09-12T18:55:54.126Z,2019-09-12T18:55:43.105Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-XS,2019-09-12T18:55:43.253Z,,,,,,,,,,,,,,,,,,
