entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables
30522494,2017-01-01,2017-01-01,c172,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,-83366.0,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,125000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,-136326.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,-34029.0,,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,,-29582.0,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,-34029.0,,-3350.0,-29582.0,2323.0,2345.0,22.0,-35277.0,-3350.0,-1248.0,,,,,,,,,,,,,,,,
30522494,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,-34029.0,,,,,,,,,,,,,,,,,,,,,,,,,
30522494,2017-12-31,2017-12-31,c176,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,-112948.0,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,125000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,,,,,,,,,,,,12052.0,,,,,,,,,,,,,,,
30522494,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,-45355.0,,,,,,,,,,,12052.0,18168.0,2738.0,125000.0,6116.0,3378.0,18168.0,63523.0,12052.0,12052.0,-170355.0,63523.0,60398.0,3378.0,0.0,3125.0
30522494,2017-12-31,2017-12-31,c706,,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzc5L2JkLzg3LzgyZjUtNDI5My1hMzVhLTk1ZWY4MTM5ZDk1Yg.pdf,http://regnskaber.virk.dk/49422503/ZG9rdW1lbnRsYWdlcjovLzAzLzYyLzFiL2M1LzkwL2IzYjMtNDFhNy04ZWRlLTdiZGE1NjlkMjUzMQ.xml,,Danmark,Aalborg,9000.0,1.0,Danalien,Aalborg,9000.0,28.0,Thorsgade,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-28,2019-03-28,2008-05-20,2019-04-09,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,aalborg@kvistjensen.dk,36717785.0,30522494.0,36717785.0,mne14950,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Konzebt Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jens Aaen,Brian Knudsen,Brian Knudsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Konzebt Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,ApS,Aalborg Kvikcenter ApS,Aalborg,2018-12-31,2018-01-01,100.0,2019-03-28,Aalborg,98 10 30 77,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27088663,indberetninger-20180424,2.509595,30522494.0,AWqRKyRiRYGX6_YTHdLP,2019-05-07T07:21:30.391Z,2019-05-07T07:21:24.464Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-99-GY,2019-05-07T07:21:24.601Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
