entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdministrativeExpenses,AverageNumberOfEmployees,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions
31635292,2016-01-01,2016-01-01,c741,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,-123564.0,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,,,,,,,,,,,,,,,
31635292,2016-01-01,2016-12-31,c123,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-1500.0,,,,,,,,,,,,,,
31635292,2016-01-01,2016-12-31,c3,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-1500.0,1500.0,1.0,0.0,-1500.0,-1500.0,,,,,,,,,
31635292,2016-01-01,2016-12-31,c742,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-1500.0,,,,,,,,,,,,,,
31635292,2016-12-31,2016-12-31,c4,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,4936.0,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,,,,,,,19116.0,19116.0,130000.0,19116.0,19116.0,14180.0,14180.0,-125064.0,14180.0
31635292,2016-12-31,2016-12-31,c743,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,-125064.0,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,,,,,,,,,,,,,,,
31635292,2017-01-01,2017-01-01,c199,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,-125064.0,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,,,,,,,,,,,,,,,
31635292,2017-01-01,2017-12-31,c1,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-2571.0,2500.0,1.0,71.0,-2571.0,-2500.0,,,,,,,,,
31635292,2017-01-01,2017-12-31,c122,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-2571.0,,,,,,,,,,,,,,
31635292,2017-01-01,2017-12-31,c200,,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzA3LzU3L2ZhL2U5YTUtNGQyOC1iYjUyLWMwODVlOWQxZGEwYg.pdf,http://regnskaber.virk.dk/29253613/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzUyL2RkLzkyLzMzOWEtNDI0Ny1hY2VmLTJhYjljMzE5ZjAzOA.xml,Danmark,Holstebro,7500.0,4.0,Hostrupsvej,Vemb,7570.0,Nees,"Skovvangvej 15,","7500, Holstebro","Hostrupsvej, 4",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-04-23,2018-04-23,2008-08-26,2018-04-23,statsautoriseret revisor,mail@kroyerpedersen.dk,,89224918.0,31635292.0,89224918.0,mne31444,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for HM 2008 Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Uffe Larsen,Helle MÃ¸ller,Helle MÃ¸ller,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",HM 2008 Holding ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Vemb,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Lemvig,2017-12-31,2017-01-01,2018-04-23,Holstebro,9610 6161,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25364151,indberetninger-20180424,2.5118418,31635292,AWMA2AcEx8uVRSOdgA-3,2018-04-26T07:26:02.955Z,2018-04-26T07:25:43.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AJ-92-QS,2018-04-26T07:25:43.842Z,-2571.0,,,,,,,,,,,,,,
