entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",96600.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",-541810.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",-445210.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_8,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",445210.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,30487.0,433609.0,-21452.0,442644.0,30487.0,2566.0,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,1195622.0,521292.0,-200000.0,1195622.0,-1151121.0,-1195622.0,-44501.0,673046.0,-44501.0,-96600.0,-854521.0,673046.0,-44501.0,1284.0,1284.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",-205452.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",-108852.0,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8vcGRmcy8xNjg4MjczOTtBcFMyMTIwMTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/93728861/Y3ZyLmRrOi8veGJybHMvWC01QzZFRDI1Mi0yMDEzMDYyNV8xOTMzNDdfMzYz.xml,"8960, Randers SÃ",Orionvej 84,"Randers C, 8900",", Sct. Mortensgade 4",Til kapitalejerne i Anthony Jensen ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",1993-03-15,2013-06-25,18743396.0,16882739.0,18743396.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Anthony Jensen ApS.,"Vi har revideret Ã¥rsregnskabet for Anthony Jensen ApS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jan Brask,Anni Hartmann Jensen,Anni Hartmann Jensen,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",Anthony Jensen ApS,"Revisionsfirmaet Peder Albertsen A/S, registrerede revisorer",,"730, Randers",2012-12-31,2012-01-01,2013-06-25,Randers,DirektÃ¸r,urn:ofk:oid:11847671,indberetninger-20180424,2.5122902000000003,16882739.0,,2018-04-01T12:39:38.827Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-28.845,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
