entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid
21722774,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,8669.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",1450.0,-25930.0,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,24720.0,35422.0,"Skanderborg, den",2017-01-01,2017-12-31,-15170.0,-25347.0,-36049.0,2018-12-31,2018-01-01,false,-10177.0,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,,,,,,,,,,,,,,,,,,
21722774,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,105800.0,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,,,,,,,,,,,,,,,,,,
21722774,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,-120970.0,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,,,,,,,,,,,,,,,,,,
21722774,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,2872446.0,239175.0,125000.0,318794.0,29619.0,2331316.0,4681.0,2872446.0,541130.0,2548971.0,2553652.0,2548971.0,541130.0,4681.0,105800.0,0.0,0.0,2100516.0,541130.0,79619.0,50000.0,0.0,
21722774,2018-01-01,2018-01-01,c10,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,0.0,,,,,,,,,,,,,,,,,
21722774,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,2100516.0,,,,,,,,,,,,,,,,,
21722774,2018-01-01,2018-01-01,c12,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,105800.0,,,,,,,,,,,,,,,,,
21722774,2018-01-01,2018-01-01,c13,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,2331316.0,,,,,,,,,,,,,,,,,
21722774,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,,,"Skanderborg, den",2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,125000.0,,,,,,,,,,,,,,,,,
21722774,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzU3L2RmLzlhLzIwM2MtNGJmMC1iOWU4LTMyNGVlZDM4MTFhNw.xhtml,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk3LzdkLzE4L2I0ZWMtNGJmNi1iM2Q1LWIzMmVmYTYyNDc0MQ.pdf,http://regnskaber.virk.dk/47722712/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzhlL2RhLzM4LzAwMWQtNGExZC1iMDM3LTUyODliM2YxOTg4YQ.xml,true,Skanderborg,8660.0,4E,Skovsvinget,8660 Skanderborg,Skovsvinget 4E,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-19,2019-05-19,42174.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,-31876.0,21722774.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Susanne Groth,Susanne Groth,TANDLÃGE SUSANNE GROTH ApS,Susanne Groth,130554.0,30.0,"Skanderborg, den",2017-01-01,2017-12-31,-159568.0,-204574.0,-74050.0,2018-12-31,2018-01-01,false,-45006.0,20153145.0,false,Ingen bistand,urn:ofk:oid:27167180,indberetninger-20180424,2.595548,21722774.0,AWrQDE8pRYGX6_YTHzXv,2019-05-19T12:23:57.533Z,2019-05-19T12:23:48.265Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-87-XQ,2019-05-19T12:23:48.496Z,,,,,,,,,,,,,,,,,,,,,,,105800.0
