entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisposalsOfInvestments,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,ConvertibleProfitYieldingOrDividendYieldingLongtermDebtInstruments,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,RetainedEarnings,SharePremium,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables,InvestmentsGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
26851130,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,-55000.0,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,0.0,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,-101000.0,Roskilde,2015-01-01,2015-12-31,-156000.0,-156000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,0.0,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,,,,,
26851130,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,-156000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,,,,,
26851130,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,26030000.0,8563000.0,1948000.0,22731000.0,26030000.0,3299000.0,26030000.0,26030000.0,1948000.0,26030000.0,1.0,8000.0,-8942000.0,23110000.0,1147000.0,1351000.0,0.0,0.0,110000.0,86000.0,,,,,
26851130,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,8562979.0,,,,,,,,,,,,,,,,,,,,,
26851130,2016-01-01,2016-01-01,c229,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,23110051.0,,,,,,,,,,,,,,,,,,,,,
26851130,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,-8942220.0,,,,,,,,,,,,,,,,,,,,,
26851130,2016-01-01,2016-01-01,c567,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,26029640.0,,,,
26851130,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,13610.0,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,-1102757.0,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,-46999.0,Roskilde,2015-01-01,2015-12-31,-1136146.0,-1136146.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,0.0,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,,Til kapitalejerne i OPDI Technologies A/S,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,
26851130,2016-01-01,2016-12-31,c194,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,-1136146.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,,,,,
26851130,2016-01-01,2016-12-31,c254,,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzLzU2LzZmLzhiL2FlLzg4NTItNGZmZi1iNDJkLTE1NDAyOWFkYTg4MQ.pdf,http://regnskaber.virk.dk/03115862/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2UyLzk5LzI3L2QyYmMtNDRlMi04NjVlLTA0NDA0OTY3YzViNA.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,2630 Taastrup,HelgeshÃ¸j AllÃ© 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-05-04,2002-10-31,2017-05-31,Statsautoriseret revisor,3470620.0,,20222670.0,26851130.0,26851130.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for OPDI Technologies A/S.,,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",David Riis Nielsen,Stig Ersgard,JÃ¸rgen Korsgaard Jensen,Nykredit Bank,OPDI Technologies A/S,OPDI Technologies A/S,,Roskilde,2015-01-01,2015-12-31,-1136146.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Roskilde,2016-12-31,2016-01-01,true,2017-05-04,Kolding,,urn:ofk:oid:24216492,indberetninger-20180424,2.5097342,26851130.0,,2018-03-29T11:50:58.405Z,2017-06-15T14:24:12.869Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-20-BS,2017-06-15T14:24:12.982Z,,,,,,,,,,,,,,,,,,,,,,,,,
