entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables
36551291,2017-06-01,2018-05-31,c2,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,1420424.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,2.0,Harlev,2017-06-01,2018-05-31,1107929.0,1420422.0,2019-05-31,2018-06-01,false,312493.0,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,,,,,,,,,,,,,
36551291,2017-06-01,2018-05-31,c4,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,1107931.0,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,,,,,,,,,,,,,
36551291,2017-06-01,2018-05-31,c6,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,-2.0,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,,,,,,,,,,,,,
36551291,2018-05-31,2018-05-31,c8,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,2064813.0,0.0,50000.0,200000.0,1567001.0,2064813.0,497812.0,1864813.0,1864813.0,1864813.0,1517026.0,-25.0,497812.0,150025.0,200000.0,200000.0,347787.0
36551291,2018-06-01,2018-06-01,c10,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,1517026.0,,,,,,,,,,,,
36551291,2018-06-01,2018-06-01,c11,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,-25.0,,,,,,,,,,,,
36551291,2018-06-01,2018-06-01,c12,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,1567001.0,,,,,,,,,,,,
36551291,2018-06-01,2018-06-01,c9,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,50000.0,,,,,,,,,,,,
36551291,2018-06-01,2019-05-31,c0,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,553479.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,2.0,Harlev,2017-06-01,2018-05-31,431712.0,553477.0,2019-05-31,2018-06-01,false,121765.0,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,,,,,,,,,,,,,
36551291,2018-06-01,2019-05-31,c1,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzY3LzQ1LzMwLzQzMWQtNDQ5ZS1hNGVkLWQzMjQ3YWE4NzA1NQ.xhtml,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZhL2FiLzAyL2ZjNTktNDE3NC1hYmU4LWMzNWY0MjAzZmI3ZQ.pdf,http://regnskaber.virk.dk/19215563/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Y3LzdmLzM3LzNlOGUtNGIwOS1hOTE1LWYxNzQyMjhiOGQwMQ.xml,true,Harlev J,8462.0,40.0,Ãdalsparken,8240.0,RavnsÃ¸vej 7,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-27,2019-09-27,36551291.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Cliff Kurt Baltzer Nielsen,Cliff Kurt Baltzer Nielsen,CKBN HOLDING ApS,Kvist Revision ApS,,Harlev,2017-06-01,2018-05-31,,,2019-05-31,2018-06-01,false,,41178626.0,false,false,Ingen bistand,urn:ofk:oid:27933535,indberetninger-20180424,2.5949402000000004,36551291.0,AW3eRQp0IXJRhhXBOsnt,2019-10-18T09:49:39.085Z,2019-10-18T09:48:47.933Z,regnskab,0.0,,2019-05-31,2018-06-01,X19-DC-32-CR,2019-10-18T09:48:49.028Z,,,,,,,,,,,,,,,,,
