entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",41998.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",3986908.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",4028906.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-4028906.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,8510.0,-3991998.0,33240.0,-91133.0,-4041381.0,8510.0,12475.0,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,9172368.0,22703.0,-125000.0,4662683.0,-7653593.0,-9172368.0,-1518775.0,4509685.0,4509685.0,4509685.0,-1196750.0,0.0,-494685.0,-7033908.0,-1518775.0,-320550.0,4639980.0,4639980.0,-1475.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",1016901.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",79533.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8vcGRmcy8zMDU5NTQ2NztBcFM0MDI0NTY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/76459503/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDYwNl8xMDQwMDNfMTQ4.xml,"3782, Klemensker",Sct. Klemmensgade 17,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Palgo Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2007-05-25,2013-06-06,10092159.0,30595467.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Palgo Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Palgo Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Chresten Clemmensen,Per Olesen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Palgo Holding ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",1096434.0,2012-12-31,2012-01-01,2013-05-31,Bellinge,5694 8501,DirektÃ¸r,urn:ofk:oid:18514120,indberetninger-20180424,2.5097342,30595467.0,,2018-04-01T20:29:50.286Z,2013-06-06T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.713,2013-06-06T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
