entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,EquityTransfersToReserves,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
35043829,2014-01-01,2014-01-01,c720,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",80000.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2014-01-01,2014-01-01,c741,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",-367000.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,-623000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,-623000.0,1.0,93000.0,224000.0,-475000.0,5000.0,6000.0,7000.0,0.0,2000.0,-799000.0,-792000.0,1000.0,-176000.0,217000.0,,,,,,,,,,,,,,,,,
35043829,2014-01-01,2014-12-31,c721,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
35043829,2014-01-01,2014-12-31,c742,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,-623000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",-910000.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,203000.0,27000.0,80000.0,203000.0,136000.0,203000.0,1113000.0,23000.0,-990000.0,1113000.0,1085000.0,176000.0,0.0,40000.0,5000.0,0.0
35043829,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",80000.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",-990000.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043829,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzVhL2FhLzAzLzAwNmQtNDAzYy1hM2U5LWVmZjQ3ZDFhZDBkZQ.pdf,http://regnskaber.virk.dk/92834053/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzY0L2FhLzc2LzE0NzQtNGQyMi1iZWI0LTZlODNlNDZkYzg3Zg.xml,Vodskov,9310.0,100.0,Ravndalen,"9000, Aalborg","Hasseris Bymidte, 6",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2013-03-04,2016-03-16,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration, tab pÃ¥ debitorer mv.",0.0,35043829.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Birk Kontorservice ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Lone Birk Andersen,Lone Birk Andersen,Birk Kontorservice ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Vodskov,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-12-31,2015-01-01,2016-03-16,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22125141,indberetninger-20180424,2.5097403999999996,35043829.0,,2018-03-29T05:51:19.035Z,2016-03-18T09:27:01.523Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-39-FJ,2016-03-18T09:27:01.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
