entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,WritedownsOfCurrentAssetsOtherThanCurrentFinancialAssets,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesDividendsFromGroupEnterprises,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
21702587,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",1009327.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",1009327.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2012-07-01,2013-06-30,ID_9,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",-1009327.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,9667.0,110085.0,0.0,294372.0,224732.0,-929648.0,-860008.0,79679.0,960426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-06-30,2013-06-30,ID_15,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,3759081.0,11151.0,125000.0,3630331.0,1217291.0,-647606.0,128750.0,3759081.0,4406687.0,2379936.0,0.0,0.0,2379936.0,128750.0,4330.0,1045919.0,128750.0,-772606.0,264.0,4330.0,2026751.0,200000.0,0.0,780568.0,3614850.0,0.0,742000.0,1655559.0,0.0,
21702587,2013-07-01,2014-06-30,ID_0,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-07-01,2014-06-30,ID_1,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-07-01,2014-06-30,ID_10,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",-1769339.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-07-01,2014-06-30,ID_12,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",-1769339.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-07-01,2014-06-30,ID_16,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702587,2013-07-01,2014-06-30,ID_17,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8vcGRmcy8yMTcwMjU4NztBcFMyNTYzNTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/78520712/Y3ZyLmRrOi8veGJybHMvWC0yRkFEN0JDNy0yMDE0MTIxMl8xNTE5MjVfMzUx.xml,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Lundgren Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er ledelsens opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.",2014-12-12,mail@jenslundgren.dk,21702587.0,14343849.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Lundgren Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter ledelsens opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Abel,Lundgren Holding ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab","Bramstrup, den 4. december 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-06-30,2013-07-01,2014-12-04,Aarhus,40407414.0,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:14369809,indberetninger-20180424,2.5118406,21702587.0,,2018-04-01T04:50:03.931Z,2014-12-12T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-319.261,2014-12-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
