entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradeReceivables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
29630879,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,20000.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,3000.0,Statsautoriseret revisor,irk@bdo.dk,191000.0,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,100000.0,Kolding,2016-01-01,2016-12-31,68000.0,88000.0,188000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,20000.0,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,,,
29630879,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,68000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,,,
29630879,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,42000.0,500000.0,42000.0,-1527000.0,42000.0,1569000.0,1152000.0,1152000.0,33000.0,0.0,-2027000.0,85000.0,417000.0,299000.0,42000.0,0.0,,,
29630879,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,500000.0,,,,,,,,,,,,,,,
29630879,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,-2026996.0,,,,,,,,,,,,,,,
29630879,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,12863.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,1784.0,Statsautoriseret revisor,irk@bdo.dk,130875.0,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,70627.0,Kolding,2016-01-01,2016-12-31,45601.0,58464.0,129091.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,12863.0,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed,
29630879,2017-01-01,2017-12-31,c194,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,45601.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,,,
29630879,2017-01-01,2017-12-31,c254,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,45601.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,,,
29630879,2017-01-01,2017-12-31,c305,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
29630879,2017-01-01,2017-12-31,c637,,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzJlLzk3L2M0Lzk2NGUtNGJiOC1hNDRhLTVhOTUyMjdjNTM0Mw.pdf,http://regnskaber.virk.dk/97803692/ZG9rdW1lbnRsYWdlcjovLzAzLzBmLzE4LzQ1L2EyLzFjOWEtNGIyMS1hODQyLTVmMjYyNDllYmU3Mg.xml,true,Kolding,6000.0,39.0,Birkemose AllÃ©,Kolding,6000.0,26.0,Riberdyb,6000 Kolding,Ãblehaven 48,DK-6000 Kolding,Birkemose AllÃ© 39,Til kapitalejeren i Juul Arkitekter A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-24,2006-06-29,2018-05-25,,Statsautoriseret revisor,irk@bdo.dk,,20222670.0,29630879.0,20222670.0,mne31367,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Juul Arkitekter A/S.,Ãrsrapport,1202759.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Steensbjerre,Steffen Juul-SÃ¸rensen,Steffen Juul-SÃ¸rensen,Danske Bank,Juul Arkitekter A/S,BDO Statsautoriseret revisionsaktieselskab,,Kolding,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kolding,2017-12-31,2017-01-01,true,2018-05-24,Kolding,,Formand,urn:ofk:oid:25576339,indberetninger-20180424,2.5124266,29630879.0,AWOq1PtE0wkEsASktHQt,2018-05-29T07:38:12.461Z,2018-05-29T07:37:52.747Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-92-LP,2018-05-29T07:37:52.947Z,,,,,,,,,,,,,,,,,,,
