entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnOmissionOfConsolidatedFinancialStatement,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance
25570383,2014-10-01,2015-09-30,c347,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",3769.0,-3750.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,-5750.0,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,281259.0,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,2154.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-2206.0,52.0,Aarhus,2014-10-01,2015-09-30,273284.0,273303.0,275509.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,-19.0,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,,,,,
25570383,2014-10-01,2015-09-30,c358,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,281259.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,,,,,
25570383,2014-10-01,2015-09-30,c368,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,-7975.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,,,,,
25570383,2015-09-30,2015-09-30,c398,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,724469.0,125000.0,0.0,675308.0,724469.0,49161.0,724469.0,724469.0,724469.0,1.0,22667.0,595719.0,-45411.0,49161.0,26494.0,0.0,0.0,0.0,,,,,
25570383,2015-10-01,2015-10-01,c401,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,125000.0,,,,,,,,,,,,,,,,,,,
25570383,2015-10-01,2015-10-01,c410,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,595719.0,,,,,,,,,,,,,,,,,,,
25570383,2015-10-01,2015-10-01,c428,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,-45411.0,,,,,,,,,,,,,,,,,,,
25570383,2015-10-01,2015-10-01,c736,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,595719.0,128750.0,,,
25570383,2015-10-01,2016-09-30,c0,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",-2038.0,-4102.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,-6875.0,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,149561.0,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,2388.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-2715.0,327.0,Aarhus,2014-10-01,2015-09-30,146111.0,139971.0,142686.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,6140.0,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,,,Til kapitalejeren i Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang
25570383,2015-10-01,2016-09-30,c2,,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzVjLzZkL2M3L2ZlZjMtNDgwMC1hNTc3LTA3MTdiMzY4ZmMzZg.pdf,http://regnskaber.virk.dk/38307552/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2Y5Lzg5LzUwLzBhY2EtNDhiOS05YTc1LTlkODIwOTlkMDZiMA.xml,true,Hobro,9500.0,"12, Box 170",Nytorv,Mariager,9550.0,6-8,Ãstergade,8543 Hornslet,LindÃ¥ Hede 2,DK-9500 Hobro,"Nytorv 12, Box 170",,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-18,2000-08-15,2017-03-01,Statsautoriseret revisor,,20222670.0,25570383.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Gert Bjerregaard Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael Graversen,Gert Bjerregaard,Gert Bjerregaard Christensen,Ãstjydsk Bank A/S,Gert Bjerregaard Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2015-10-01,149561.0,true,2017-02-18,Hobro,,urn:ofk:oid:23540867,indberetninger-20180424,2.5118417999999996,25570383.0,,2018-03-27T19:47:39.996Z,2017-03-01T18:30:46.033Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-48-EX,2017-03-01T18:30:46.175Z,,,,,,,,,,,,,,,,,,,,,,,
