entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PlantAndMachinery,PrepaymentsForGoods,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
31472210,2017-07-01,2018-06-30,ID_13,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,14.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2017-07-01,2018-06-30,ID_15,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,561600.0,6459959.0,11208057.0,74311.0,35631.0,3219586.0,4147818.0,4186498.0,928232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2017-07-01,2018-06-30,ID_17,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2017-07-01,2018-06-30,ID_19,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,719586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2018-06-30,2018-06-30,ID_12,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,,,,,16750.0,19689362.0,3350009.0,500000.0,19322530.0,113504.0,119220.0,15294134.0,163333.0,180083.0,12584613.0,19689362.0,4312742.0,120790.0,864678.0,864678.0,10047645.0,366832.0,1570.0,2445422.0,65959.0,2536968.0,65959.0,2500000.0,82486.0,82486.0,12294134.0,3448064.0,3380.0,3387908.0,429306.0,569956.0,3274404.0,,,
31472210,2018-07-01,2019-06-30,ID_0,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,237563.0,6516963.0,12039861.0,61329.0,2822.0,4066484.0,5226828.0,5285335.0,1160344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2018-07-01,2019-06-30,ID_1,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2018-07-01,2019-06-30,ID_10,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Cecilie Franck,Bestyrelsesmedlem,
31472210,2018-07-01,2019-06-30,ID_14,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,15.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31472210,2018-07-01,2019-06-30,ID_16,,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzVjLzk4L2FiLzVlZTEtNGRkNi04N2ZjLWE3OGFkNmU3MzFkMg.pdf,http://regnskaber.virk.dk/01227413/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2U2LzRhL2M3LzQ2ODktNGU4MC1hODI0LTAzYzk5YTI5NzE5MA.xml,true,"4900, Nakskov",Vejlegade 41,Til kapitalejerne i GN Belysning A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2018 - 30-06-2019.",2019-10-11,2019-10-11,2019-10-11,gnbelysning@gnbelysning.dk,35050469.0,31472210.0,35050469.0,mne18323,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2018 - 30-06-2019 for GN Belysning A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",JÃ¸rn Christensen,Erik Hofmann Ebbe,AC Revision Aps,Jyske Bank A/S,GN Belysning A/S,AC Revision Aps,Herning,2017-07-01,2018-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,false,2019-10-11,Herning,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27921523,indberetninger-20180424,2.5124211,31472210.0,AW3OQjdcIXJRhhXBOmIs,2019-10-15T07:11:55.654Z,2019-10-15T07:11:48.359Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DB-53-BV,2019-10-15T07:11:48.653Z,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
