entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfInvestments,DisclosureOfLiabilitiesUnderLeases,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PayablesToShareholdersAndManagement,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,25211.0,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",1028032.0,-1390175.0,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",247688.0,-96972.0,-139225.0,-186216.0,-336932.0,2012-12-31,2012-01-01,2013-05-26,Roskilde,46991.0,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,139225.0,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,139225.0,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,4368713.0,14207.0,-200000.0,4293598.0,42527.0,43299.0,-967059.0,65115.0,3159700.0,-4368713.0,-3401654.0,-500000.0,10000.0,-744200.0,3159700.0,75115.0,10000.0,-288987.0,-244200.0,65115.0,-767059.0,-1878691.0,-2657454.0,1119691.0,248354.0,-489776.0,785511.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,65280.0,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,65280.0,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_18,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8vcGRmcy81ODQ0OTExMztBcFMyMjU5NDsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/31194485/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8xMTA0MzNfNDY3.xml,"Haslev, 4690",Maglemosevej 21,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til kapitalejerne i EMAMOTOR ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1976-06-30,2013-05-26,,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,58449113.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for EMAMOTOR ApS.,"Vi har revideret Ã¥rsregnskabet for EMAMOTOR ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Merete Jacobsen,Sten Bjarne Hansen,Sten Bjarne Hansen,"Mer Revision, FSR - danske revisorer",EMAMOTOR ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-26,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:12466054,indberetninger-20180424,2.5124327999999996,58449113.0,,2018-04-01T21:55:32.295Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-5.590,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
