entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,CashAndCashEquivalents,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Provisions,ProvisionsForInvestmentsInGroupEnterprises,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables
28855680,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,-8750.0,28855680.0,-1.0,-570512.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,28661.0,0.0,Karlslunde,2016-01-01,2016-12-31,-607923.0,-607923.0,-8750.0,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",0.0,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,,,,,,,,,,,,,,,,
28855680,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,-570512.0,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,,,,,,,,,,,,,,,,
28855680,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,-37411.0,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,,,,,,,,,,,,,,,,
28855680,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,2039103.0,125000.0,56667.0,1823264.0,2039103.0,759202.0,1982436.0,19341.0,1963095.0,1982436.0,3501.0,56667.0,-544202.0,2242466.0,759202.0,60831.0,687870.0,56667.0,7000.0
28855680,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,2242466.0,,,,,,,,,,,,,,,
28855680,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,-1087565.0,,,,,,,,,,,,,,,
28855680,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,1279901.0,,,,,,,,,,,,,,,
28855680,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,125000.0,,,,,,,,,,,,,,,
28855680,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,-4671.0,28855680.0,-1.0,-512489.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,31354.0,0.0,Karlslunde,2016-01-01,2016-12-31,-548513.0,-548513.0,-4671.0,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",0.0,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,,,,,,,,,,,,,,,,
28855680,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzBmLzNkLzcwLzA3YmItNDQ5OS1hYTc4LTcxODZkMDZiMmQyMA.xhtml,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzAwLzYzL2VjL2Q4YTctNDFmNC05NWU3LTAyNDU4NDI2MDA5YQ.pdf,http://regnskaber.virk.dk/08655882/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzE0LzZjLzBhLzE5YjMtNGQzOC1iMjE1LWJiZmEzOWIyMTA4OQ.xml,true,Karlslunde,2690.0,38.0,Silovej,4140 Borup,Hovedgaden 60 L,8750.0,2.0,Regnskabsklasse B,2018-06-11,2018-06-18,70205091.0,,28855680.0,-1.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Khalid Sabir,Khalid Sabir,A.P.P. HOLDING ApS,Christian LysehÃ¸j,,0.0,Karlslunde,2016-01-01,2016-12-31,,,,-543363.0,-543363.0,2017-12-31,2017-01-01,false,false,"Selskabets direktion anser fortsat, at betingelserne for at undlade revision er opfyldt og fravÃ¦lger derfor revision for det kommende regnskabsÃ¥r.",,86129554.0,false,false,Ingen bistand,urn:ofk:oid:25852270,indberetninger-20180424,2.5949414,28855680.0,AWQSi1Rt0wkEsASkt2Kx,2018-06-18T10:58:17.281Z,2018-06-18T10:57:55.376Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-27-FL,2018-06-18T10:57:55.600Z,,,,,,,,,,,,,,,,,,,
