entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,PropertyCost,RawMaterialsAndConsumablesUsed,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradeReceivables
18576473,2017-07-01,2018-06-30,c2,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,221073.0,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,72288.0,1628058.0,1720996.0,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,261635.0,25406.0,9393.0,HelsingÃ¸r,2017-07-01,2018-06-30,-6454.0,4637.0,20650.0,76995.0,79401.0,2019-06-30,2018-07-01,2360100.0,false,11091.0,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2017-07-01,2018-06-30,c4,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,90000.0,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2017-07-01,2018-06-30,c6,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,-96454.0,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2017-07-01,2018-06-30,c8,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,-6454.0,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2018-06-30,2018-06-30,c10,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,1663077.0,859902.0,150000.0,1087401.0,16000.0,999751.0,212560.0,1663077.0,663326.0,150510.0,363116.0,150510.0,575676.0,363116.0,946205.0,408449.0,212560.0,90000.0,-90000.0,-6454.0,512816.0,3276.0,227499.0,11091.0,33687.0,177812.0
18576473,2018-07-01,2019-06-30,c0,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,304421.0,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,93968.0,1643715.0,1992654.0,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,266943.0,38703.0,1250.0,HelsingÃ¸r,2017-07-01,2018-06-30,162240.0,217518.0,254971.0,39995.0,96622.0,2019-06-30,2018-07-01,2700635.0,false,55278.0,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2018-07-01,2019-06-30,c1,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2018-07-01,2019-06-30,c3,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,100000.0,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2018-07-01,2019-06-30,c7,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,62240.0,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,
18576473,2019-06-30,2019-06-30,c9,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2FkL2Q5LzRmLzQ2YTItNGZhOC1iYWU0LWUzYzQyNGQxMTI1Zg.xhtml,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzNkL2YyL2UzLzkxNjktNDg2MC1iMmY3LWRjOGI1YzllMjkyYw.pdf,http://regnskaber.virk.dk/37467581/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzM5LzA0LzMwLzdlMjQtNDAyMi1iNWY5LWNkYmQ1OTMwY2Y3Mw.xml,true,HelsingÃ¸r,3000.0,17.0,Mariagervej,3000 HelsingÃ¸r,Ulstruphave 7,,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-28,,,,18576473.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Viggo Havemann,David Andrew BÃ¼nger Paxton,PAINTLESS ApS,Viggo Havemann,,,,HelsingÃ¸r,2017-07-01,2018-06-30,,,,,,2019-06-30,2018-07-01,,false,,false,Ingen bistand,urn:ofk:oid:27965745,indberetninger-20180424,2.5947563999999996,18576473.0,AW4b5ymvIXJRhhXBPDZA,2019-10-30T09:03:38.882Z,2019-10-30T09:02:43.792Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CW-41-EA,2019-10-30T09:02:44.064Z,1914055.0,869443.0,150000.0,1112265.0,16204.0,1061990.0,400242.0,1914055.0,852065.0,373380.0,401548.0,373380.0,801790.0,401548.0,849750.0,366917.0,400242.0,100000.0,-100000.0,162240.0,478685.0,1750.0,242822.0,10018.0,0.0,226618.0
