entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermReceivablesFromAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradeReceivables
entity identifier,2010-10-01,2011-09-30,ID_11,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,-376102.0,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,-376102.0,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_9,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,376102.0,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,2500.0,375382.0,35960.0,-37500.0,376342.0,-240.0,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_15,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,770777.0,6727.0,-125000.0,147638.0,14251.0,28125.0,294614.0,-770777.0,-1065391.0,623139.0,123139.0,500000.0,623139.0,0.0,-1999.0,419614.0,-1065391.0,-1063392.0,140911.0,98535.0,0.0,0.0
entity identifier,2011-10-01,2012-12-31,ID_0,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-12-31,ID_1,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-12-31,ID_10,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,443506.0,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-12-31,ID_12,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,443506.0,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-12-31,ID_16,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-12-31,ID_17,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8vcGRmcy8zMTQ3NzE5MDtBcFM0MzMwNjU7MjAxMTEwMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/09177413/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUxNV8xMjEwMTlfNjc4.xml,"7400, Herning","Herning Afdeling, Dalgasgade 27","Silkeborg, 8600",Sankelmarksgade 35,"Aalborg SV, 9200",Vandmanden 10A,Til kapitalejerne i NOA HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. pr. 31. december samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-10-2011 - 31-12-2012.",2008-05-30,2013-05-02,Statsautoriseret revisor,noa@athenagroup.dk,www.athenagroup.dk,33357966.0,61126228.0,31477190.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-10-2011 - 31-12-2012 for NOA HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for NOA HOLDING APS for regnskabsÃ¥ret 01-10-2011 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Niels Otto Andersen,Niels Otto Andersen,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,NOA HOLDING APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Silkeborg, 740",2012-12-31,2011-10-01,2013-05-02,Aalborg,+45 2721 4500,DirektÃ¸r,urn:ofk:oid:19530687,indberetninger-20180424,2.5118449000000003,31477190,,2018-04-01T16:35:31.677Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-10-01,13-4.443,2013-05-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
