entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SocialSecurityContributions,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
26752353,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,26794.0,610.0,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,-334.0,Frederikssund,0.0,2014-01-01,2014-12-31,276.0,276.0,610.0,2015-12-31,2015-01-01,27404.0,0.0,Selskabet opfylder betingelserne for fravalg af revision.,0.0,20630303.0,false,Ingen bistand,0.0,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2014-01-01,2014-12-31,c8,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,276.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2014-12-31,2014-12-31,c10,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,145540.0,142361.0,125000.0,145540.0,138040.0,145540.0,7500.0,0.0,0.0,0.0,0.0,3179.0,0.0,13040.0,7500.0,0.0,3179.0,7500.0,0.0
26752353,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,38785.0,36404.0,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,0.0,Frederikssund,19566.0,2014-01-01,2014-12-31,-43522.0,-43522.0,-43522.0,2015-12-31,2015-01-01,75189.0,360.0,Selskabet opfylder betingelserne for fravalg af revision.,0.0,20630303.0,false,Ingen bistand,60000.0,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
26752353,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzg3LzhkL2E4LzQ1MDMtNDc1Yi05ZGE1LWQwN2ExMDllNTRkNA.xhtml,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2ZlL2FiL2ZmLzUxZTctNGQ5Zi05OGI5LTZkY2RlMzkzNzZjNw.pdf,http://regnskaber.virk.dk/35325762/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk2L2ZkL2UyL2NlYmMtNGMyNi1iNWY5LWVjYjc2MDg0MmUzYQ.xml,Danmark,DK,Frederikssund,3660.0,7.0,Torvet,Frederikssund,3600.0,59.0,Amsterdamhusene,3600 Frederikssund,Amsterdamhusene 59,Regnskabsklasse B,2016-02-03,2016-02-03,info@hammockaps.dk,,,26752353.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Erik Bilstrup,Poul Erik Bilstrup Thomsen,Handelsbanken,HAMMOCK ApS,Anne Wieslander,,Frederikssund,,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,,,Selskabet opfylder betingelserne for fravalg af revision.,,20630303.0,false,Ingen bistand,,urn:ofk:oid:21952703,indberetninger-20180424,2.59278,26752353.0,,2018-03-28T18:14:20.614Z,2016-02-03T08:49:44.661Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-10-YL,2016-02-03T08:49:44.861Z,,,,,,,,,,,,,,,,,,,
