entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMemberOfExecutiveBoardApprovingStatementOfExecutiveAndSupervisoryBoard,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfReviewedFinancialStatement,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnManagementsResponsibilityAuditorsReportOnReviewOfFinancialStatements,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
83010428,2011-01-01,2011-01-01,c450,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",125000.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-01-01,2011-01-01,c474,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",186852.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-01-01,2011-12-31,c123,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,-42649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-01-01,2011-12-31,c3,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,-42649.0,403134.0,370511.0,5972.0,41822.0,17896.0,51665.0,-56549.0,-32623.0,13188.0,-13900.0,332309.0,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-01-01,2011-12-31,c475,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,-42649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-12-31,2011-12-31,c4,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",269203.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,783756.0,125000.0,774156.0,37900.0,0.0,148631.0,783756.0,514553.0,9600.0,9600.0,9600.0,109337.0,12612.0,148631.0,144203.0,405216.0,514553.0,625525.0,505611.0,0.0,14000.0,0.0,55402.0,
83010428,2011-12-31,2011-12-31,c452,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",125000.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2011-12-31,2011-12-31,c476,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",144203.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2012-01-01,2012-01-01,c181,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",125000.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83010428,2012-01-01,2012-01-01,c199,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8vcGRmcy84MzAxMDQyODtBcFMyNDQxOTsyMDEyMDEwMTsyMDEyMTIzMTtSO1I.pdf,http://regnskaber.virk.dk/82401038/Y3ZyLmRrOi8veGJybHMvWC0wMDlBQUJGRS0yMDEzMDUwOF8xMzI4NTZfMTIz.xml,9500  Hobro,Skibsgade 37,9550 Mariager,"Daniavej 16, Assens",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen den 31. maj 2012 vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.",2013-04-08,2013-04-08,1977-08-17,2013-05-02,DirektÃ¸r,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",144203.0,98511390.0,83010428.0,27509053.0,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Hobro VÃ¦rft ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Hobro VÃ¦rft ApS for regnskabsÃ¥ret 1. januar - 31. december 2012.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Johan Leth,Peter Johan Leth,Hobro VÃ¦rft ApS,"Kvist & Jensen, Statsautoriserede revisorer A/S",Hobro,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hobro,2012-12-31,2012-01-01,2013-04-08,Mariager,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,98523769.0,urn:ofk:oid:13453948,indberetninger-20180424,2.5118406,83010428.0,,2018-04-01T14:22:54.616Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-9.286,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
