entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CostOfSales,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2011-01-01,2011-12-31,ID_5,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",0.0,2006-07-12,2013-05-31,-12400.0,Statsautoriseret revisor,253159.0,-297786.0,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,87164.0,934287.0,-610.0,886552.0,876649.0,-57027.0,"147, Frederiksberg",2012-12-31,2012-01-01,-384950.0,2013-05-30,BrÃ¸ndby,9903.0,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_7,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,-886552.0,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,-886552.0,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_11,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,848884.0,-125000.0,18884.0,18884.0,65453.0,-848884.0,-914338.0,-706912.0,830000.0,830000.0,-706912.0,830000.0,190453.0,-49787.0,-207426.0,-55000.0,18884.0,-14928.0,0.0,-13366.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_2,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_3,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8vcGRmcy8yOTY4ODExNztBcFMzNzg2MjM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71188692/Y3ZyLmRrOi8veGJybHMvWC1FMzA3NkI4RC0yMDEzMDYxM18xNDQwMDdfOTg3.xml,"1829, Frederiksberg C","Madvigs Alle 10, 3., c/o Tim Vang","2605, BrÃ¸ndby","Park AllÃ© 350A, 2.",Til kapitalejerne i Casa-Share ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",,2006-07-12,2013-05-31,,Statsautoriseret revisor,,,29198535.0,29688117.0,29198535.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Casa-Share ApS.,"Vi har revideret Ã¥rsregnskabet for Casa-Share ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jimmi  Christensen,Tim Vang,Tim Vang,CR Statsautoriseret Revisionsaktieselskab,Danske Bank,Casa-Share ApS,CR Statsautoriseret Revisionsaktieselskab,,,,,,,"147, Frederiksberg",2012-12-31,2012-01-01,,2013-05-30,BrÃ¸ndby,,urn:ofk:oid:17737844,indberetninger-20180424,2.5097417999999996,29688117.0,,2018-04-02T03:07:04.113Z,2013-06-13T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.549,2013-06-13T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
