entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
28143400,2014-01-01,2014-01-01,c176,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,255000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-01-01,2014-01-01,c470,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-01-01,2014-01-01,c494,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,-366552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,,30466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,,30466.0,101895.0,57109.0,44786.0,101895.0,14320.0,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-01-01,2014-12-31,c495,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,,30466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-12-31,2014-12-31,c180,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,255000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,,,,,,,,255000.0,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,-211086.0,,,,,,,255000.0,1851437.0,11.0,125000.0,1596437.0,116340.0,431890.0,1851437.0,2062523.0,255000.0,431890.0,255000.0,19026.0,3600.0,-336086.0,372186.0,2062523.0,1577596.0,1164536.0,1044596.0,93715.0,,,,
28143400,2014-12-31,2014-12-31,c472,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143400,2014-12-31,2014-12-31,c496,,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzYzL2ZhLzIxLzk2NzUtNGExZS1hODViLWE3MDg0ZTBmMDA1OA.pdf,http://regnskaber.virk.dk/00434182/ZG9rdW1lbnRsYWdlcjovLzAzLzAzLzM4L2EzLzAwLzgxNGEtNDg4My1iMGQxLTllMzBiZjg2Mjc2MA.xml,TjÃ¦reborg,6731.0,19.0,SÃ¸nderled,6731 TjÃ¦reborg,SÃ¸nderled 19,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-06-15,2011-10-10,2016-06-17,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler.",28143400.0,28143400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Porsholt Bramming ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Torben Nielsen,JÃ¸rn Nielsen,Porsholt Bramming ApS,Porsholt Bramming ApS,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,VÃ¦rlÃ¸se,2015-12-31,2015-01-01,Ingen bistand,urn:ofk:oid:22738075,indberetninger-20180424,2.5118449000000003,28143400.0,,2018-03-29T11:47:41.109Z,2016-06-20T11:27:28.383Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-99-QB,2016-06-20T11:27:28.531Z,-336086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
