entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLeaseCommitments,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLeaseCommitments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
26636906,2014-01-01,2014-12-31,c10,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,-389284.0,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26636906,2014-01-01,2014-12-31,c8,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,-389284.0,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,233137.0,1421880.0,1297880.0,37454.0,-394591.0,-357137.0,-5307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26636906,2014-12-31,2014-12-31,c12,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,1746043.0,0.0,5329716.0,969589.0,301633.0,32256.0,635335.0,10423.0,190248.0,1746043.0,1110708.0,235960.0,235960.0,776454.0,196556.0,29557.0,766031.0,776454.0,136471.0,-4694381.0,357387.0,109023.0,874748.0,779341.0,211782.0,415895.0,53777.0,,
26636906,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,-231498.0,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,228738.0,1297791.0,1334841.0,35879.0,-227567.0,-191688.0,3931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26636906,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Due Jacobsen,
26636906,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Vilmund Hansen,
26636906,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tage Vilmund Hansen
26636906,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Due Jacobsen
26636906,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mette Vilmund Hansen
26636906,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzA5LzY5L2QzL2FiMzgtNGU1MS1hNDliLWVjZGEzZjg1NTZlYw.xhtml,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzk2L2I1LzAxLzYxODUtNGQ4Yi1hYzkwLThkYjdmMjQ5YzU1ZQ.pdf,http://regnskaber.virk.dk/60963662/ZG9rdW1lbnRsYWdlcjovLzAzLzRkL2NiLzZkLzI1L2E2YWUtNGQ3OC04ZGNmLTQ2MTMzMjIyNjZmZQ.xml,true,Horsens,8700.0,18-20,SÃ¸ndergade,Horsens,8700.0,6.0,BodÃ¸vej,8700 Horsens,danas alle 2,Regnskabsklasse B,2016-05-26,2016-05-26,75627485.0,26636906.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Hansen,sydbank,SVEND HANSEN & SÃN A/S,jesper schmidt,Horsens,2014-01-01,2014-12-31,,2015-12-31,2015-01-01,false,false,75623533.0,false,false,Ingen bistand,urn:ofk:oid:22477053,indberetninger-20180424,2.5949402000000004,26636906.0,,2018-03-29T06:40:05.091Z,2016-05-29T11:42:51.759Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-07-EK,2016-05-29T11:42:51.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Vilmund Hansen
