entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfReportingEntity,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
21242470,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,2365.0,-2365.0,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,19734.0,118640.0,Vejle,2017-01-01,2017-12-31,75222.0,96541.0,-2365.0,2018-12-31,2018-01-01,false,2019-02-04,Kolding,21319.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,,,,,,,,,,,,
21242470,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,75222.0,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,,,,,,,,,,,,
21242470,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,1195272.0,33151.0,405000.0,1195272.0,1186351.0,1195272.0,8921.0,1160583.0,8921.0,781351.0,1160583.0,8921.0,1538.0,1538.0,,
21242470,2018-01-01,2018-01-01,c10,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,781351.0,,,,,,,,,,,
21242470,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,0.0,,,,,,,,,,,
21242470,2018-01-01,2018-01-01,c12,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,1186351.0,,,,,,,,,,,
21242470,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,405000.0,,,,,,,,,,,
21242470,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,3259.0,-3259.0,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,139235.0,49731.0,Vejle,2017-01-01,2017-12-31,-92761.0,-92763.0,-3259.0,2018-12-31,2018-01-01,false,2019-02-04,Kolding,-2.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,,,,,,,,,,,,
21242470,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,,,,,,,,,,,32285201.0,Martinsen Statsautoriseret Revisionspartnerselskab
21242470,2018-01-01,2018-12-31,c13,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzL2RjLzlmLzQ1LzcyL2YzMmQtNDRmMC1hOGE3LTE5NzRmNWZlMTQ5Nw.xhtml,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzFkLzgzLzM2LzY1NDMtNDZlMC1iNTFiLWU0YmQzZjdkOTA5Mw.pdf,http://regnskaber.virk.dk/07424212/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2E3L2I4LzI1L2I0YTEtNDhlYi05MmZlLTUzOGNjMTZmYjM2NA.xml,true,Danmark,DK,Kolding,6000.0,4.0,Jupitervej,7100 Vejle,2.0,Havnepladsen,Vejle,7100.0,24.0,Uranusvej,7100 Vejle,Uranusvej 24,Til anpartshaveren i NIMI Invest ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,"Regnskabsklasse B, mikrovirksomhed",2019-02-04,2019-03-21,Statsautoriseret revisor,nimi@post3.tele.dk,,,21242470.0,mne18474,1015555609.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,JÃ¸rgen L Poulsen,JÃ¸rgen L Poulsen,Niels Mikkelsen,Den Jyske Sparekasse A/S,NIMI INVEST ApS,Niels Mikkelsen,,,Vejle,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,false,2019-02-04,Kolding,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26869074,indberetninger-20180424,2.59278,21242470.0,AWmnV4a8RYGX6_YTGJLY,2019-03-22T21:39:01.142Z,2019-03-22T21:38:44.028Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AJ-53-LZ,2019-03-22T21:38:44.424Z,,,,,,,,,,,,,,,,
