entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
33958366,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,-5000.0,33958366.0,1009128049.0,21340.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,0.0,600.0,BjÃ¦verskov,2015-01-01,2015-12-31,18116.0,16940.0,-5000.0,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,-1176.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,101200.0,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,21340.0,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2015-01-01,2015-12-31,c9,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,-104424.0,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2015-12-31,2015-12-31,c11,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,1858852.0,664244.0,80000.0,987556.0,1752652.0,1858852.0,106200.0,871296.0,871296.0,871296.0,5000.0,11192.0,101200.0,746296.0,926356.0,106200.0,0.0,323312.0,175186.0,136934.0,,
33958366,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,-5000.0,33958366.0,1009128049.0,381461.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,0.0,385.0,BjÃ¦verskov,2015-01-01,2015-12-31,376846.0,376846.0,-5000.0,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,0.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,26624479.0,AB-REVISION REGISTRERET REVISIONSANPARTSSELSKAB
33958366,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,103400.0,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
33958366,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzZiL2Q0LzhmLzA1NjUtNDI3ZC1hMTMwLTk0MzYwMjJhYmZhNg.xhtml,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzM0L2I3L2NiLzQ4ZWYtNDUyMi1hM2VhLWQ4MzY1Y2U2ZThmMQ.pdf,http://regnskaber.virk.dk/66385933/ZG9rdW1lbnRsYWdlcjovLzAzLzI0Lzc1LzU3L2FjLzQ1MzEtNGVkZS1hYWI2LWE4OWRhNjUxODlkNQ.xml,true,Danmark,DK,Kastrup,2770.0,358.0,Englandsvej,Danmark,DK,Kastrup,2770.0,201.0,Kastrupvej,BjÃ¦verskov,4632.0,33.0,Gartnervej,2770 Kastrup,Englandsvej 358,Til den daglige ledelse i ABS 2011 Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-03-03,2017-03-03,Registreret revisor,,33958366.0,1009128049.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anni Foli,Ulla Hansen,Tommy Hansen,Arbejdernes Landsbank A/S,ABS 2011 HOLDING ApS,AB-revision ApS,,,BjÃ¦verskov,2015-01-01,2015-12-31,381461.0,,,2016-12-31,2016-01-01,false,false,2017-03-03,Kastrup,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23556389,indberetninger-20180424,2.595548,33958366.0,,2018-03-27T20:53:31.433Z,2017-03-06T08:07:26.300Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-47-JX,2017-03-06T08:07:26.468Z,,,,,,,,,,,,,,,,,,,,,,
