entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermTaxPayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
31943361,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,2647.0,-2647.0,31943361.0,mne6154,1008543298.0,35021.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,32686.0,32374.0,-2647.0,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,-312.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,35021.0,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2016-07-01,2017-06-30,c8,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,-2335.0,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2017-06-30,2017-06-30,c10,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,301131.0,2110.0,125000.0,2110.0,267585.0,301131.0,33546.0,299021.0,299021.0,299021.0,10152.0,174021.0,-31436.0,33546.0,13296.0,10098.0,,
31943361,2017-07-01,2018-06-30,c0,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,2639.0,-2639.0,31943361.0,mne6154,1008543298.0,25645.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,23173.0,23006.0,-2639.0,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,-167.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2017-07-01,2018-06-30,c1,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,52886252.0,IGM REVISION V/IBEN GREEN MADSEN
31943361,2017-07-01,2018-06-30,c2,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2017-07-01,2018-06-30,c3,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,52886252.0,IGM REVISION V/IBEN GREEN MADSEN
31943361,2017-07-01,2018-06-30,c5,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,25645.0,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
31943361,2017-07-01,2018-06-30,c7,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2UyLzIyL2NhLzA1LzU1YTEtNGJiZC1iZTY1LTE5YWI5Mzc1MzMzOA.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzEwLzJiLzQ5L2RjYzctNDFmMC1hYzkyLWM3Njk2OTA4NWViOA.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzI1L2NhLzFiLzk0LzY4NWUtNDFiNS1iOTM1LWMwYzNkOGJmN2JiYw.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-09-03,2018-11-05,Registreret revisor,,,31943361.0,mne6154,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2016-07-01,2017-06-30,-2472.0,,,2018-06-30,2017-07-01,false,false,2018-09-03,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26269788,indberetninger-20180424,2.5949402000000004,31943361.0,AWbkfKpB5OzuYdPkF-sj,2018-11-05T15:28:12.294Z,2018-11-05T15:27:42.631Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-12-VN,2018-11-05T15:27:42.785Z,,,,,,,,,,,,,,,,,,
