entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
31943361,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,2723.0,-2723.0,31943361.0,1008543298.0,84401.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,83489.0,81678.0,-2723.0,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,-1811.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,,,,,,,,,,,,,,,,
31943361,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,65756.0,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,,,,,,,,,,,,,,,,
31943361,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,17733.0,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,,,,,,,,,,,,,,,,
31943361,2015-06-30,2015-06-30,c9,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,222291.0,1171.0,125000.0,4395.0,190756.0,222291.0,31535.0,217896.0,217896.0,217896.0,3549.0,65756.0,0.0,31535.0,27986.0,3224.0,0.0,3224.0,,
31943361,2015-07-01,2015-07-01,c10,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,125000.0,,,,,,,,,,,,,,,
31943361,2015-07-01,2015-07-01,c11,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,65756.0,,,,,,,,,,,,,,,
31943361,2015-07-01,2015-07-01,c12,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,0.0,,,,,,,,,,,,,,,
31943361,2015-07-01,2015-07-01,c13,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,190756.0,,,,,,,,,,,,,,,
31943361,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,2540.0,-2540.0,31943361.0,1008543298.0,46104.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,44143.0,43564.0,-2540.0,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,-579.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,,,,,,,,,,,,,,,,
31943361,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzMxL2QyL2ExL2ZhLzZhYzctNDAwNi04YTk4LTlmYzk3MGU4Y2MyMQ.xhtml,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzU2LzJjLzRmLzcwYzQtNGNmNS04NGZjLTkzZDgzZDIxM2Q1Nw.pdf,http://regnskaber.virk.dk/16334913/ZG9rdW1lbnRsYWdlcjovLzAzLzM1L2JiLzkzL2QxLzYyYzEtNDYxYS04NTEyLWZmZDcxYTJiZjEyOA.xml,true,Danmark,DK,Roskilde,4000.0,"4, 1",Hovedvejen,Roskilde,4000.0,42.0,Stenlandsvej,4000 Roskilde,Hovedvejen 4,Til kapitalejerne i Dupont Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-12-13,2016-12-13,Registreret Revisor,,,31943361.0,1008543298.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Tonny Dupont,Tonny Dupont,Jyske Bank A/S,DUPONT HOLDING ApS,Iben Green Madsen,Roskilde,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-12-13,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23305711,indberetninger-20180424,2.5927877,31943361.0,,2018-03-29T08:18:53.878Z,2016-12-15T15:09:27.260Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BJ-89-AM,2016-12-15T15:09:27.438Z,,,,,,,,,,,,,,,,,,,52886252.0,IGM REVISION V/IBEN GREEN MADSEN
