entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,IncreaseOfCapital,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
35835687,2017-07-01,2017-07-01,c704,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",1.0,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2017-07-01,c725,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",606724.0,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2017-07-01,c728,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",103400.0,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c106,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,220000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c120,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,3619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c3,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,223619.0,1.0,1535545.0,1807128.0,149181.0,3897.0,32693.0,3897.0,641204.0,300379.0,271583.0,3408.0,76760.0,741752.0,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c705,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,49999.0,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c726,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,3619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35835687,2017-07-01,2018-06-30,c729,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,,220000.0,103400.0,,,,,,,,,,,,,,,,,,
35835687,2018-06-30,2018-06-30,c4,,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzQ1Lzk5L2I0LzI5ZTEtNDYyYS05N2UwLTg1NTc1OTY4ZThiOQ.pdf,http://regnskaber.virk.dk/78653853/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzJmLzZkLzU1L2ViYjYtNGJmMC04ZmFmLTAzYzc4NzQzM2QxOQ.xml,Danmark,Risskov,8240.0,"16, 2. sal",Voldbjergvej,Viborg,8800.0,10.0,HoulkÃ¦rshÃ¸jen,"8240, Risskov","Voldbjergvej, 16, 2. sal",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Bestyrelse og direktion anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-07-09,2019-07-09,2019-07-10,statsautoriseret revisor,Egenkapital,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration og lokaler.",880343.0,32285201.0,35835687.0,32285201.0,mne10154,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018/19 for Eksekver ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Anthon Pedersen,Jan Poulsen,Jan Poulsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Eksekver ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Viborg,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-06-30,2018-07-01,2019-07-09,Risskov,87 43 96 00,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27677788,indberetninger-20180424,2.5118417999999996,35835687.0,AWvlBx9RIXJRhhXBL8IS,2019-07-12T07:13:46.320Z,2019-07-12T07:12:56.937Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BW-43-WL,2019-07-12T07:12:57.233Z,,,,,,,,,,,,,,,,,,1527096.0,739616.0,50000.0,1527096.0,17009.0,1527096.0,646753.0,558362.0,0.0,220000.0,610343.0,646753.0,787480.0,656725.0,60626.0,27765.0,113746.0,
