entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PaidContributedCapital,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
30718550,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",1542847.0,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,1805841.0,74317.0,KorsÃ¸r,2016-01-01,2016-12-31,-188677.0,-188677.0,1542847.0,2017-12-31,2017-01-01,1542847.0,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",0.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2016-01-01,2016-12-31,c8,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,-188677.0,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2016-12-31,2016-12-31,c10,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,38214331.0,74559.0,4150286.0,913149.0,34584.0,3948744.0,37301182.0,38214331.0,34265587.0,26336362.0,26370946.0,37301182.0,4016184.0,184585.0,0.0,37301182.0,-201542.0,43.0,7894641.0,3717200.0,838590.0,0.0,161214.0,654005.0,,
30718550,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",1397109.0,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,1853967.0,839.0,KorsÃ¸r,2016-01-01,2016-12-31,-414510.0,-456019.0,1397109.0,2017-12-31,2017-01-01,1397109.0,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",-41509.0,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,34581673.0,REVISIONSFIRMAET SVENDSEN ApS
30718550,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,34581673.0,REVISIONSFIRMAET SVENDSEN ApS
30718550,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
30718550,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzIxL2EzLzIwL2MxLzQ3NDktNGMzNC1hYWNjLTQwYjM4N2VhMmIyYQ.xhtml,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzJiL2I4LzBmLzA1NTQtNGZjZC1hMTQxLWI4YThhMWFjYTMxMg.pdf,http://regnskaber.virk.dk/05581703/ZG9rdW1lbnRsYWdlcjovLzAzL2U4LzgzLzI2LzdkLzA5MjQtNGFiMy04OTg1LTE1NDQ3NWVjZTM0Mw.xml,true,Danmark,DK,KorsÃ¸r,4220.0,13.0,Nygade,Vemmelev,4241.0,34.0,Ormeslevvej,4220 KorsÃ¸r,Nygade 13,Til ejeren af Garbsen I ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-05-30,2018-05-30,revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Grunde og bygninger med bogfÃ¸rt vÃ¦rdi kr. 37.345.055Â er stillet som sikkerhed for bankgÃ¦ld.</p>",,30718550.0,1017692646.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne-Lise Henriksen,Ivan Svendsen,Ivan Svendsen,GARBSEN I ApS,Ivan Svendsen,,,KorsÃ¸r,2016-01-01,2016-12-31,-414510.0,,,2017-12-31,2017-01-01,,false,false,2018-05-30,KorsÃ¸r,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25625715,indberetninger-20180424,2.5955422,30718550.0,AWO09UNO0wkEsASktNrE,2018-05-31T06:49:50.994Z,2018-05-31T06:49:19.487Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-78-NK,2018-05-31T06:49:19.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,
