entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
33258976,2014-01-01,2014-01-01,c720,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,120000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
33258976,2014-01-01,2014-01-01,c741,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,-8000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
33258976,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,2000.0,,,,,,,,,,,,,,,,,,,,,
33258976,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,2000.0,-3000.0,0.0,0.0,6000.0,3000.0,-3000.0,1000.0,,,,,,,,,,,,,,
33258976,2014-01-01,2014-12-31,c742,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,2000.0,,,,,,,,,,,,,,,,,,,,,
33258976,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,114000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,124000.0,0.0,120000.0,124000.0,124000.0,10000.0,3000.0,-6000.0,10000.0,124000.0,124000.0,7000.0,0.0,
33258976,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,120000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
33258976,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,-6000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
33258976,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,120000.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
33258976,2015-01-01,2015-01-01,c199,,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzQyLzYwLzdiL2QyL2E1ZmEtNDdmMi05NmM4LWNhMTg5NTlkMDc2ZQ.pdf,http://regnskaber.virk.dk/67985233/ZG9rdW1lbnRsYWdlcjovLzAzLzIwL2ZlLzdkL2UxL2Y0MzQtNGJlYi04MzI0LTA3Y2Q5ZWNkZWY0Yw.xml,Aalborg,9000.0,38.0,Hasserisgade,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Bestyrelsen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-18,2016-03-18,2016-04-08,Andre eksterne omkostninger. Andre eksterne omkostninger omfatter omkostninger til administration mv.,-6255.0,33258976.0,29442789.0,Bestyrelsen har dags dato aflagt Ã¥rsrapporten for 2015 for JFE Komplementaranpartsselskab.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Erik Krogstrup,JFE Komplementaranpartsselskab,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-12-31,2015-01-01,2016-03-18,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22238498,indberetninger-20180424,2.5122902000000003,33258976.0,,2018-03-28T19:15:06.432Z,2016-04-17T12:14:41.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-15-QN,2016-04-17T12:14:41.887Z,,,,,,,,,,,,,,,,,,,,,,
