entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermDebtToBanks,ShorttermDeferredIncome,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ChangeInInventoriesOfFinishedGoodsWorkInProgressAndGoodsForResale,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceIncome,OtherOperatingExpenses,OtherOperatingIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RawMaterialsAndConsumablesUsed,Revenue,TaxExpense,Assets,BiologicalAssets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,RevaluationReserve,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
28707703,2011-07-01,2012-06-30,duration_ProposedDividendRecognisedInEquityMember_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2011-07-01,2012-06-30,duration_ReserveForNetRevaluationAccordingToEquityMethodMember_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2011-07-01,2012-06-30,duration_RestOfOtherReservesMember_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2011-07-01,2012-06-30,duration_RetainedEarningsMember_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,425008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2011-07-01,2012-06-30,duration_only_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,425007.0,0.0,-130119.0,0.0,998099.0,0.0,58070.0,0.0,35000.0,571565.0,867980.0,0.0,1035125.0,-146558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2012-06-30,2012-06-30,instant_only_previous,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,30051144.0,0.0,0.0,0.0,125000.0,1977404.0,416967.0,9897028.0,0.0,0.0,28073740.0,30051143.0,17934857.0,0.0,0.0,16923288.0,16923288.0,0.0,28073740.0,0.0,913735.0,0.0,28073740.0,0.0,2219258.0,2219258.0,0.0,1392219.0,8379809.0,0.0,1011569.0,1977404.0,65755.0,1560437.0
28707703,2012-07-01,2013-06-30,duration_IdentificationOfAuditor,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2012-07-01,2013-06-30,duration_ProposedDividendRecognisedInEquityMember,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2012-07-01,2013-06-30,duration_ReserveForNetRevaluationAccordingToEquityMethodMember,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28707703,2012-07-01,2013-06-30,duration_RestOfOtherReservesMember,,http://regnskaber.virk.dk/30770782/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMTAwMV8xNTAyNDBfMzc1.xml,6950 RingkÃ¸bing,Herningvej 3-5,7400 Herning,Ãstergade 4-6,6950 RingkÃ¸bing,"SÃ¸ndervig Landevej 9, Holmsland",6950 RingkÃ¸bing,Herningvej 3,Regnskabsklasse B,2013-09-18,29817286.0,28707703.0,29817286.0,Ãrsrapport,Asger Krogsgaard,Vestjysk Landboforening,Nordea Bank,St. Bratbjerg ApS,VL Revision,-80097.0,-354485.0,2013-06-30,2012-07-01,27969.0,4110.0,2013-09-18,Telefon: 97325511,urn:ofk:oid:16782157,indberetninger-20180424,2.3526907,28707703.0,,2018-04-01T12:58:55.253Z,2013-10-01T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-296.919,2013-10-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
