entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-07-01,2011-06-30,ID_11,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",603750.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_13,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",-568789.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_15,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",34961.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_9,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",-34961.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,25003.0,44241.0,-116555.0,-47311.0,12350.0,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_17,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,3838418.0,1375774.0,-200000.0,3838418.0,25304.0,-3181243.0,-3838418.0,-657175.0,0.0,0.0,-603750.0,-2981243.0,2435690.0,-657175.0,26954.0,-38425.0,1650.0,-15000.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",603750.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",-547782.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8vcGRmcy83MDIwOTYxNjtBcFM1OTYyODsyMDExMDcwMTsyMDEyMDYzMDtSO1I.pdf,http://regnskaber.virk.dk/61690207/Y3ZyLmRrOi8veGJybHMvWC0zRDk0QjBEQS0yMDEyMTExMl8xNTMzMzBfNzA3.xml,"Hedensted, 8722",Ved BÃ¦kken 3,"7100, Vejle",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1982-12-21,2012-11-09,Statsautoriseret revisor,70209616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for HE 95 ApS.,Ãrsrapport,SÃ¸ren  Kahr,Jens Knudsen,Else Knudsen,"ReviPartner, Vejle, godkendt revisionsaktieselskab",HE 95 ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",55968.0,2012-06-30,2011-07-01,2012-10-01,Vejle,urn:ofk:oid:15792313,indberetninger-20180424,2.5095456,70209616.0,,2018-04-02T06:21:11.001Z,2012-11-12T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.942,2012-11-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
