entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AmortisationOfIntangibleAssets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DisposalsOfPropertyPlantAndEquipment,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,ImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,InvestmentsGross,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm
30085809,2013-01-01,2013-12-31,c1,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,-4643.0,-34354.0,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,-57210.0,37500.0,Statsautoriseret revisor,-500000.0,98986.0,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,-2249.0,3.0,Aars,533.0,39530.0,41776.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,-38997.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30085809,2013-01-01,2013-12-31,c30,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,533.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30085809,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,64820.0,336558.0,12459.0,125000.0,56734.0,20002.0,271557.0,200000.0,64820.0,336558.0,65001.0,15004.0,15004.0,279824.0,22128.0,24273.0,200000.0,146557.0,65001.0,42873.0,44275.0,0.0,,,,,,
30085809,2014-01-01,2014-01-01,c113,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,15004.0,,,,,
30085809,2014-01-01,2014-01-01,c137,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,
30085809,2014-01-01,2014-01-01,c158,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,146557.0,,,,,,,,,,,,,,,,,,,,,
30085809,2014-01-01,2014-01-01,c47,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,43330.0,108150.0,,,
30085809,2014-01-01,2014-01-01,c88,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,500000.0,
30085809,2014-01-01,2014-12-31,c0,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,-20003.0,0.0,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,-124675.0,37500.0,Statsautoriseret revisor,-500000.0,25626.0,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,-13560.0,39.0,Aars,-132573.0,-112570.0,-99049.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,-20003.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
30085809,2014-01-01,2014-12-31,c114,,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzLzhjL2JjLzllL2ZjL2M3NmQtNGI2MC1hODUzLTQ2MDJlNjU2YzQxNQ.pdf,http://regnskaber.virk.dk/90858003/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3LzExLzc5LzkxLzdjYjQtNDY4OC1hYzcwLTdmMjIxOGFlODQ1MA.xml,1.0,44000.0,Aalborg,9000.0,51.0,Visionsvej,Aars,9600.0,5-7,Markedsvej,9600  Aars,"Birkevej 56, Tandrup",DK-9000 Aalborg,Visionsvej 51,Til kapitalejeren i Agroinvestment ApS,,,7210.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-05-08,2006-12-01,2015-05-08,,37500.0,Statsautoriseret revisor,-500000.0,,30085809.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Agroinvestment ApS.,-337500.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tom Johnsen,Christian Dalgaard,Christian Dalgaard,Jutlander Bank,Agroinvestment ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aars,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Vesthimmerland,2014-12-31,2014-01-01,2015-05-08,Aalborg,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5217809,indberetninger-20180424,2.50956,30085809.0,,2018-03-30T09:47:46.609Z,2015-05-09T07:48:01.438Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-52-NF,2015-05-09T07:48:01.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
