entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,6342932.0,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,6342932.0,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_8,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,-6342932.0,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,569600.0,3112820.0,-12052047.0,13870.0,-104184.0,-8459941.0,-8369627.0,2117009.0,,
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,8131711.0,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_2,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,JÃ¸rn K. Christiansen,Bestyrelsesmedlem/DirektÃ¸r
entity identifier,2011-07-01,2012-06-30,ID_3,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_4,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8vcGRmcy8yNjE0MzMzMDtBL1MyOTA1Mzg7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/03334162/Y3ZyLmRrOi8veGJybHMvWC03RjEyRDRCRi0yMDEyMTEyNl8xMjAxNTNfOTk1.xml,"Virum, 2830",VirumgÃ¥rdsvej 16,"2000, Frederiksberg",Lindevangs AllÃ© 4,Regnskabsklasse B,2012-10-04,2012-11-12,Statsautoriseret revisor,77926410.0,26143330.0,77926410.0,Ãrsrapport,Bjarne Albrechtsen,JÃ¸rn KjÃ¦rgaard Christiansen,JÃ¸rn K. Christiansen,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",NCS Fugtteknik A/S,"Revisionsfirmaet Albrechtsen, Statsautoriseret Revisionsaktieselskab",Frederiksberg,,"173, Lyngby-TÃ¥rbÃ¦k",2012-06-30,2011-07-01,Bestyrelsesmedlem/DirektÃ¸r,urn:ofk:oid:20859386,indberetninger-20180424,2.5124211,26143330.0,,2018-04-02T08:10:26.497Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-278.023,2012-11-26T23:00:00.000Z,,,,,,,,,Jeanette K. Christiansen,Bestyrelsesformand
