entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromInvestmentsInAssociates,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermReceivablesFromAssociates,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm
34084009,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,12199.0,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",454413.0,456916.0,21696382.0,34084009.0,1005132190.0,86215.0,-166629.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",8537.0,58.0,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,-97791.0,-98589.0,-9696.0,2015-06-30,2014-07-01,2015-11-11,Slagelse,-798.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,86215.0,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2013-07-01,2014-06-30,c9,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,-184006.0,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2014-06-30,2014-06-30,c11,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,311250.0,12762.0,80000.0,63207.0,12500.0,8713.0,11780.0,311250.0,302537.0,236263.0,236262.0,1.0,248043.0,83284.0,11780.0,0.0,183137.0,-254424.0,302537.0,203600.0,50445.0,0.0,132.0,15653.0,37813.0,
34084009,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,11780.0,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",459135.0,663270.0,21696382.0,34084009.0,1005132190.0,2017.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",6957.0,141.0,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,146024.0,187556.0,192355.0,2015-06-30,2014-07-01,2015-11-11,Slagelse,41532.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,"REVISORERNE DALSGAARD,STAHL & WÃLDIKE STATSAUTORISERET REVISIONSAPS"
34084009,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34084009,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzL2M0LzhjLzcxL2JhLzcwYjEtNDc3ZC04NDUyLWRkNTdlMmUwZmNiZQ.xhtml,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzdiLzQ3LzAwLzI4MTYtNGI4Zi1hN2ZmLThiOGE3M2I5N2M4OA.pdf,http://regnskaber.virk.dk/90048043/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2I0LzY5L2VkL2I3OGEtNGZmNS1iNzdmLTRlNzE4MjcwZjY4NA.xml,Danmark,DK,Slagelse,8.0,Nytorv,Danmark,DK,SkÃ¦lskÃ¸r,4230.0,18.0,Algade,SkÃ¦lskÃ¸r,4230.0,50.0,Ãrslevvej,4200 Slagelse,Nytorv 8,Til den daglige ledelse i BRISE HOLDING ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-11-11,2015-11-18,,"registreret revisor, cma","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Resterende leasingforpligtelse pr. statusdagen udgÃ¸r ca. t.kr. 8.</p>",,,21696382.0,34084009.0,1005132190.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Flemming Stahl,Brian Rise,Brian Rise Hamann Jensen,Sparekassen SjÃ¦lland,BRISE HOLDING ApS,"DALSGAARD, STAHL & WÃLDIKE, statsautoriseret revisionsanpartsselskab",,,SkÃ¦lskÃ¸r,2013-07-01,2014-06-30,2017.0,,,2015-06-30,2014-07-01,2015-11-11,Slagelse,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21632316,indberetninger-20180424,2.59262,34084009.0,,2018-03-30T13:57:24.627Z,2015-11-18T09:31:41.986Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AJ-92-WU,2015-11-18T09:31:42.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,
