entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesDividendsFromAssociates,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
26696801,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,-65312.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2014-01-01,2014-12-31,ID_5,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,65312.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,-1250.0,60400.0,1731.0,9461.0,66880.0,-1250.0,1568.0,,,,,,,,,,,,,,,,,,,,,
26696801,2014-01-01,2014-12-31,ID_7,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,-60400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2014-01-01,2014-12-31,ID_9,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,-4912.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2014-12-31,2014-12-31,ID_13,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,876648.0,13029.0,125000.0,82618.0,862000.0,876648.0,14648.0,794030.0,794030.0,794030.0,69589.0,731531.0,5469.0,69589.0,14648.0,12853.0,0.0,0.0,545.0,1250.0,
26696801,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,-203565.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2ExLzZjLzA0LzZkLzUzYmUtNDc2MS1iNzA3LTE5OTVlYjY1N2U4Yw.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzhmL2YwLzEyL2E3MzYtNDMwMC1iYTFlLWI2NmRhNmQ5YjEyYw.xml,"4672, Klippinge",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding  ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-06-24,2002-08-16,2016-06-26,26696801.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for HC Holding  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning Clausen,Danske Bank,HC Holding  ApS,"bp-revision, registreret revisorer FSR - danske revisorer","Greve, den 24-06-2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2015-12-31,2015-01-01,2016-06-24,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22784028,indberetninger-20180424,2.5097342,26696801.0,,2018-03-29T14:59:44.680Z,2016-06-28T12:41:47.987Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-60-FP,2016-06-28T12:41:48.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
