entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnExtraordinaryEvents,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,PayablesToShareholdersAndManagement,PropertyPlantAndEquipment,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,13790.0,Statsautoriseret revisor,-198056.0,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",35359.0,-111680.0,-148907.0,-184266.0,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,37227.0,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,111680.0,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,111680.0,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,1119075.0,98365.0,-125000.0,1087011.0,283757.0,338056.0,10164.0,451515.0,-1119076.0,-1457131.0,21900.0,-910519.0,451515.0,32064.0,21900.0,-40135.0,-910519.0,10164.0,588056.0,-125000.0,-546613.0,537131.0,-506478.0,253374.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,121620.0,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,121620.0,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_18,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8vcGRmcy8yOTY5MTc5NztBcFMzNzkxNDI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79719692/Y3ZyLmRrOi8veGJybHMvWC1FOTA5RDI0OS0yMDEzMDYwN18xMzQzMzhfNDQ5.xml,"2840, Holte",Lansevej 10,"Herlev, 2730","Transformervej 18, 2",Til kapitalejerne i Nuex ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2013-06-06,,Statsautoriseret revisor,,www.nuex.dk,29691797.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Nuex ApS.,"Vi har revideret Ã¥rsregnskabet for Nuex ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bo  Ãrum,Henrik Withen,Henrik Withen,"Nu-Revi, Statsautoriseret Revisor ApS",Danske Bank,Nuex ApS,"Nu-Revi, Statsautoriseret Revisor ApS",,,,,"230, Rudersdal",2012-12-31,2012-01-01,2013-05-30,Herlev,,DirektÃ¸r,urn:ofk:oid:17753585,indberetninger-20180424,2.5124277999999998,29691797.0,,2018-04-01T22:57:18.290Z,2013-06-08T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-104.972,2013-06-08T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
