entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherLongtermReceivables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,DividendPaid
31602793,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,75858.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,4392.0,11500.0,Silkeborg,2016-01-01,2016-12-31,81406.0,82966.0,2017-12-31,2017-01-01,false,false,1560.0,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,,,,,,,,,,,,,,,
31602793,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,0.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,,,,,,,,,,,,,,,
31602793,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,0.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,,,,,,,,,,,,,,,
31602793,2016-01-01,2016-12-31,c8,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,81406.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,,,,,,,,,,,,,,,
31602793,2016-12-31,2016-12-31,c10,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,2696903.0,125000.0,11500.0,2603105.0,2696903.0,93798.0,2685403.0,2685403.0,2602070.0,83333.0,11500.0,2478105.0,93798.0,92238.0,11500.0,0.0,1560.0,
31602793,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,125000.0,,,,,,,,,,,,,,
31602793,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,0.0,,,,,,,,,,,,,,
31602793,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,2478105.0,,,,,,,,,,,,,,
31602793,2017-01-01,2017-01-01,c14,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,0.0,,,,,,,,,,,,,,
31602793,2017-01-01,2017-01-01,c15,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2QxL2Y4LzE2LzQ3ZjYtNDljZC05YWUwLTI2NWMzYTJhZTVkMQ.xhtml,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2Y0L2VmLzAzLzNlNDItNDcyYy1hNTZhLWQwMWE1NjQyYzYwZA.pdf,http://regnskaber.virk.dk/39720613/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzEyL2VhLzI0L2Q1ZjEtNDM1Mi1hMWY2LWUxMWU1NmY0OTQ5Mg.xml,true,Silkeborg,8600.0,29.0,Rosenborgvangen,7480 Vildbjerg,RugvÃ¦nget 10,Regnskabsklasse B,2018-04-23,2018-04-23,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er at eje kapitalandele i andre selskaber, samt anden virksomhed som stÃ¥r i naturlig forbindelse hermed.</p>",31602793.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Bredmose LangkjÃ¦r,Jess Bredmose LangkjÃ¦r,LANGKJÃR AGRO ApS,Frans LangkjÃ¦r,,,Silkeborg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25348794,indberetninger-20180424,2.59278,31602793.0,AWL2VFnAx8uVRSOdf8nU,2018-04-24T06:26:12.915Z,2018-04-24T06:25:43.096Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-53-HK,2018-04-24T06:25:43.282Z,,,,2603105.0,,,,,,,,,,,,,,
