entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,NumberOfEmployees,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard
27327176,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,279642.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,-744258.0,Statsautoriseret revisor,-200000.0,-7464017.0,10226449.0,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,-719141.0,2.0,719141.0,2.0,Skive,850315.0,2015-01-01,2015-12-31,1019393.0,1299035.0,2018174.0,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,426164.0,-279642.0,Formand,6187538.0,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2015-01-01,2015-12-31,c177,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,200000.0,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,819393.0,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,19566910.0,1847.0,753637.0,70450.0,3894255.0,61457.0,3456823.0,249060.0,19566910.0,14973013.0,1923553.0,5249195.0,1020093.0,13744103.0,19.0,3325642.0,4239514.0,86870.0,13433586.0,13744103.0,200000.0,699642.0,699642.0,2430697.0,2940618.0,2678231.0,9723818.0,1485000.0,2364137.0,1321073.0,2206817.0,6033.0,,,,,,,,,
27327176,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,753637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,2940618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2016-01-01,2016-01-01,c257,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27327176,2016-01-01,2016-01-01,c453,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7671942.0,21105524.0,,,,,,,
27327176,2016-01-01,2016-01-01,c456,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275397.0,336864.0,,,,,,,
27327176,2016-01-01,2016-01-01,c462,,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzEzLzg5L2QyLzU2NjYtNDZjNC1iMjQxLTMyMzUwYzkzZjM3Nw.pdf,http://regnskaber.virk.dk/67172372/ZG9rdW1lbnRsYWdlcjovLzAzLzM5L2MyL2MxL2ZmLzc2Y2YtNDk2My05MDc5LWZkYTFhZTY2MWY2Mg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,7800 Skive,KatkjÃ¦rvej 6,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejerne i Scanbag A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",2017-03-10,2003-09-03,2017-03-29,,Statsautoriseret revisor,-200000.0,,,20222670.0,27327176.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Scanbag A/S.,Ãrsrapport,300000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Niels BalshÃ¸j,Lars Mark,Lars Mark,Scanbag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Skive,,2015-01-01,2015-12-31,,,,6738953.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2016-12-31,2016-01-01,true,2017-03-10,Aarhus,,,Formand,,urn:ofk:oid:23694247,indberetninger-20180424,2.5097342,27327176.0,,2018-03-27T11:09:06.758Z,2017-04-05T12:14:02.256Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-81-ML,2017-04-05T12:14:02.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296226.0,545279.0,,,,,,,
